افریقہ	Afriko
کوکوئٹلم	Coquitlam (Brita Kolumbio)
حبیب بورقیبہ	Habib Burgiba
بانہ	Bane
فہرست قبرص کے شہر	Listo de urboj de Kipro
جبوؤںووو پومورسکئی	Jabłonowo Pomorskie
جاروسواو کاؤنٹی	Distrikto Jarosławski
تراز, کرغیزستان	Talas
سینٹ-اوٹ-لے-پورے	Saint-Avit-le-Pauvre
اختلاطی کہکشائیں	Interagantaj galaksioj
قوم جوجی اردو	Joĉid Ulus
پوبلیت کا عیسائی مٹھ	Monaĥejo de Poblet
بھیونڈی	Bhivandi
آستارا	Astara (Irano)
ووکنگ	Woking
ارجنٹائن انٹارکٹیکا	Argentina Antarkta Teritorio
جوہر (صومالیہ)	Jawhar
تووادا، اوموری	Toŭada
آروانگن	Aarwangen (distrikto)
صوبہ شرناق	Provinco Şırnak
محمدیہ	Mohamedio
جارن	Jæren
قرغانتپہ	Kurgontepa
نقش رستم	Nakŝ-e Rustam
خلیج سپینسر	Golfo Spencer
یوور	Yvoir
سیلیفکے	Silifke
بحیرہ مجموعہ الجزائر	Maro de la Finna Insularo
گیاناز	Gujanoj
خاکی	Kakia
2040ء کی دہائی	2040-aj jaroj
کوتا بھرو	Bharu
برضانکے	Brzánky
فہرست ممالک بلحاظ بلند ترین نقطہ	Listo de la plej altaj montoj de ĉiu lando
چوکہا ضلع	Distrikto Ĉuĥa
تراشیگانگ ضلع	Distrikto Traŝigang
پارو ضلع	Distrikto Paro
کایاہ ریاست	Kajaho
آرہاوی	Arhavi
ہولیچ	Holíč
سوئیتا، اوساکا	Sujta
سینٹ-بونٹ-بریانکے	Saint-Bonnet-Briance
برزوزوو	Brzozów
ہسپانوی امریکہ	Hispanameriko
خلیج کھمبات	Kambej-Golfo
سالستدت	Saalstadt
جنوو لبلسکی کاؤنٹی	Distrikto Janowski
طیف	Spektro
سففیگ	Saffig
لی	Lio
سین-رمے-دو-نورد	Saint-Remy-du-Nord
توتو	Tutow
جکڑے ئی	Jacareí
آبی مانیٹر	Akva varano
سینٹ-کیر-سر-لڑے	Saint-Cyr-sur-Loire
ادے نھیم	Udenheim
کارگاہ	Ateliero
جغرافیائی امتیاز	Elstareco (geografio)
رتبہ میٹرکس	Rango (matrico)
بین الاقوامی مالیاتی شرکت	International Finance Corporation
اقوام متحدہ کے اعلیٰ کمشنر برائے انسانی حقوق	Alta Komisaro de la Unuiĝintaj Nacioj pri Homaj Rajtoj
عظیم آدمساختہ دریا	Granda Homfarita Rivero
اسلامی خطاطی	Arabskriba kaligrafio
علاقہ سیگو	Regiono Ségou
نرمس	Nurmes
کینٹربری، نیوزی لینڈ	Kanterburio
ہوپا	Hopa
مرکہ	Merka
کارتاخینا، کولمبیا	Kartageno (Kolombio)
وراءمستوی	Hiperebeno
سین-رمے-چوسے	Saint-Remy-Chaussée
کیمیحرک	Kemitaksiso
سینٹ-کیر-سر-مر	Saint-Cyr-sur-Mer
پزینوک	Pezinok
ایروسول اسپرے	Sprajilo
لا شاپیل، ساوویی	La Chapelle (Savoie)
کریسٹین سٹڈ	Kristinestad
ہیران، صومالیہ	Hiiraan
سالےپلٹتے	Saaleplatte
لوانگ نامتھا	Luang Namtha
توکائڈشنکانسن	Ŝinkansena linio Tōkaidō
فوکویاما، ہیروشیما	Fukujama
صدا فگنی	Ventroparolado
رپن	Ripon
آبرن، واشنگٹن	Auburn (Vaŝingtonio)
فہرست منگولیا کے شہر	Listo de urboj de Mongolio
یببسٹز	Ybbsitz
زگرسدورف	Zagersdorf
برطانوی صومالی لینڈ	Brita Somalio
سینٹ-میگرین	Saint-Maigrin
نو کارلے بو	Nykarleby
کیریبین	Karibio
مقناطیسی سکونیات	Magnetostatiko
ٹومب رایڈر اساطیر	Tomb Raider: Legend
سینٹ-پاردو-لے-نوف، کورریزے	Saint-Pardoux-le-Neuf (Corrèze)
سین-پرے، یون	Saint-Père (Yonne)
سنیں ضلع	Saanen (distrikto)
گلشمسی	Heliantheae
طب جگر	Hepatologio
سینٹ-غصلیں	Saint-Ghislain
ویسٹ انڈیز	Okcidentaj Indioj
باناز	Banaz
ماہاجانگا صوبہ	Mahajanga (provinco)
بیضائی دانت	Ovodento
حساب کا بنیادی مسئلہ اثباتی	Fundamenta teoremo de aritmetiko
وردنگ	Worthing
این پی ار	Nacia Publika Radio (Usono)
سال، مکلنبرگ-وورپوممرن	Saal (Antaŭpomerio)
لیلیٰ مجنوں	Lejla kaj Maĝnun
بائیچ کوویک	Býčkovice
تجرید	Abstraktado
سینٹ-جوان-دس-گیریٹس	Saint-Jouan-des-Guérets
سینٹ-ارنولٹ-این -یولنس	Saint-Arnoult-en-Yvelines
صوبہ سیلیسیا	Prusia Silezio
جاونٹز	Jävenitz
ڈرو بیریمور	Drew Barrymore
ماچو پیچو	Maĉupikĉuo
اطالیہ قومی فٹ بال ٹیم	Itala nacia teamo de futbalo
تلنگانہ	Telangano
کرم خور	Insektomanĝulo
لا ریپارا-وریپلیس	La Répara-Auriples
لاپوگیو دے جوس	Lăpugiu de Jos
وسطی شبیلی	Shabeellaha Dhexe
سین-پریسٹ-لا-پلانے	Saint-Priest-la-Plaine
طوس	Tuso (Irano)
یوبے اسٹیٹ	Jobe
جکرکی	Jacaraci
مسجد جینے	Granda Moskeo de Djenné
جلھے	Jalhay
آرمینیا چرچ	Armena Apostola Eklezio
سچسنھوسن (تھرنگا)	Sachsenhausen (Turingio)
اشعالیت	Reŭmatismo
اسعدآباد (کنر)	Asadabad
جاصد	Jásd
لاچوسی	Lachaussée
سینٹ-آندرے-لیس-ورگرس	Saint-André-les-Vergers
سنجینٹا	Syngenta
سویٹزر لینڈ میں میناروں پر پابندی	Svisa popoliniciato pri malpermeso de minaretoj
گرمکھی	Gurumuĥi-ortografio
سعودی عرب کے شہر	Listo de urboj de Sauda Arabio
ڈیجیٹل ایکوپمنٹ کارپوریشن	Digital Equipment Corporation
قرابتدار	Kognato
لیوپودو	Leopoldov
شاہی جغرافیائی جمعیت	Reĝa Geografia Societo
سچو	Sachau
لگزمبرگ (صوبہ)	Kantono Luksemburgo
لہجہ (لسانيات)	Akĉento
ریمیش (صوبہ)	Kantono Remich
دیکیرش (صوبہ)	Kantono Diekirch
دھاندلی	Balota fraŭdo
لانوڈیری	Lanodierio
اوٹاگو	Otago
ماچاکوس	Machakos
رچلینڈ، واشنگٹن	Richland (Vaŝingtonio)
لا روشےفوکولڈ، چارینٹی	La Rochefoucauld (Charente)
سین-پیری-دولیرون	Saint-Pierre-d'Oléron
جزیرہ ہرمز	Insulo Hormuzo
عسکری فضاگاہ	Armea aerbazo
ہیراکاوا، اوموری	Hirakaŭa
خانیت خوقند	Ĥanlando Kokando
اچٹڈورف	Uchtdorf
جنسڑودہ	Janisroda
تاترا - 815	Tatra 815
تریپہنا	Tryppehna
سچسندورف، سیکسنی-عنہالٹ	Sachsendorf (apud Calbe)
آسٹریائی آرچڈچی	Arkiduklando Aŭstrio
شہری علاقہ	Urba areo
سالکرایس	Distrikto Saalkreis
جیبٹز	Jaebetz
اچٹسپرنگ	Uchtspringe
جہرسٹدت	Jahrstedt
توچیم	Tucheim
سینٹ-گیورگس-سر-موسے	Saint-Georges-sur-Meuse
مربع کلومیٹر	Kvadrata kilometro
فہرست ممالک بلحاظ آبادی	Listo de landoj laŭ loĝantaro
کظری غدہ	Surrena glando
عُضو	Organo
سات نئے عجائبات عالم	Novaj sep mirindaĵoj de la mondo
سین-اڈے	Sainte-Ode
سینٹ-ہوبرٹ، بیلجیم	Saint-Hubert
مغربی جرمنی	Okcidenta Germanio
سینٹ-لگر، بیلجیم	Saint-Léger-en-Gaume
2030ء کی دہائی	2030-aj jaroj
کرسٹس	Christ's College (Kembriĝo)
منظم کثیر الاضلاع	Regula plurlatero
ینبیاں کوریا اوٹونوموس پریفیکچر	Korea Aŭtonoma Prefektujo Janbiano
حجر اسود	Haĝar Al-Aswad
سیالویہ	Limfocito
آیزو 639-1	ISO 639-1
فوجی قانون	Militjuro
زوبکووکے سلوسکے کاؤنٹی	Distrikto Ząbkowicki
بان ہوواے سائے	Ban Huajsai
سنبل	Bombako
وینتیان صوبہ	Provinco Vjentiano
اشترناخ (صوبہ)	Kantono Echternach
مھران	Mehrano
کیرول کوئیگلی	Carroll Quigley
کامیاران	Kamyaran
محافظہ بلقاء	Balkao
محافظہ اربد	Irbido (gubernio)
محافظہ زرقاء	Zarkao
جاروسواو	Jarosław (regiono Podkarpackie)
سلطنت اشانتی	Aŝantia imperio
ڈربی (گھڑ دوڑ)	Derbio
وراڈیرو	Varadero
منشور	Ĉarto
آہنی مائع	Ferofluaĵo
Unitary matrix	Unita matrico
رگ وید	Rigvedo
سامتسے ضلع	Distrikto Samce
تسیرانگ ضلع	Distrikto Cirang
سامدروپ جونگخار ضلع	Distrikto Samdrup Jongĥar
وانگدو پھودرانگ ضلع	Distrikto Ŭangdue Podrang
ترونگسا ضلع	Distrikto Trongsa
سارپانگ ضلع	Distrikto Sarpang
باری، صومالیہ	Bari (Somalio)
یمن سٹی	Jumen
سام نوا ضلع	Sam Neŭa
صادقین	Sadequain
لا شاٹیلاینی	La Châtelaine
سینٹ-کلیمنٹ-دس-بلینس	Saint-Clément-des-Baleines
جگقارا	Jaguaquara
تورچیشچ	Turčišće
داگانا ضلع	Distrikto Dagana
محافظہ کرک	Karako (gubernio)
وزیر اعظم پاکستان	Ĉefministro de Pakistano
یلیویسکا	Ylivieska
آیزو 3166-2:BG	ISO 3166-2:BG
آیزو 3166-2:AT	ISO 3166-2:AT
کولکویٹ، جارجیا	Colquitt (Georgio)
فہرست جاپان کے شہر	Listo de urboj de Japanio
چکوری ہئیت	Kvadrata formo
نورستانی قوم	Nuristananoj
نوقطب شمالی ماحولیاتی خطہ	Nearktiso
برگاما	Bergama
شاطبہ	Ŝativo
عصابہ علاقہ	Assaba
یونیسف	UNICEF
آیزو 3166-2:AF	ISO 3166-2:AF
جانکمجٹس	Jánkmajtis
سینٹ-لگر-وابن	Saint-Léger-Vauban
کیورو	Keuruu
ذہنی دھلائی	Cerbolavado
دیوریغی	Divriği
برگوس گرجاگھر	Katedralo de Burgoso
کیمی یاروی	Kemijärvi
مسافت پیما	Hodometro
میری بیرڈ لینڈ	Lando de Marie Byrd
اسلامی عہدِ زریں	Islama Orepoko
اباتا	Ubatã
امارت بخارا	Buĥara emirlando
الحبرائی دالہ	Algebra funkcio
براہمن	Brahmano
سینٹ-کیپرین، کورریزے	Saint-Cyprien (Corrèze)
پائیتھون	Pitono (apartigilo)
مورمنیت	Mormonismo
لوانگ پرابانگ صوبہ	Provinco Luangprabango
سبنوو ضلع	Distrikto Sabinov
جانکوو	Janikowo
حاصلۂ نور	Lumsensilo
ضلع ساراندہ	Distrikto Sarandë
ای سالمی	Iisalmi
رولز آف دی گیم (فلم)	La règle du jeu
لا کارلوٹا، سپاین	La Carlota
بیابیسینسیو	Villavicencio
فہرست تاجکستان کے شہر	Listo de urboj de Taĝikio
محافظہ طفیلہ	Tafilaho
محافظہ جرش	Ĵeraso
متحدہ عرب امارات کے شہر	Listo de urboj de Unuiĝintaj Arabaj Emirlandoj
محافظہ مادبا	Madabo
سین-رومین-دے-بنت	Saint-Romain-de-Benet
بائدگوسزسز کاؤنٹی	Distrikto Bydgoszcz
سناج	Sanaag
یروررے	Yrouerre
سینٹ-کرق-لپوپئے	Saint-Cirq-Lapopie
عسکری عدالت	Militkortumo
نعمہ	Néma (Maŭritanio)
علامۂِ فلسفہ	Doktoro de filozofio
سینٹ-بروں -لیس-پنس	Saint-Brevin-les-Pins
سینٹ لارنس بحری گزرگاہ	Marvojo Sankt-Laŭrenco
مابعدالطبیعیاتی مصوری	Pittura metafisica
مشرقی نیا برطانیہ صوبہ	Orienta Nov-Britujo
ہا ضلع	Distrikto Haa
کریمنیکا	Kremnica
Reserve currency	Rezerva valuto
کریمیا	Aŭtonoma Respubliko Krimeo
کروپینا	Krupina
تجکجہ	Tidĵikĵa
ہند ملایا ماحولیاتی خطہ	Orientaliso
سیستان	Sistano
اتوپو	Attapeu
جزیرہ اٹو	Insulo Attu
سلطنت وولوف	Volofa Imperio
یوویرے	Yvoire
لاگیس	Laĵes
وادی یزرعیل	Valo de Jizre'el
یورگر	Yüreğir
طیران	Aviado
سلماس	Selmas
اوکیناوا پریفیکچر	Gubernio Okinavo
سولداد، اتلانتیکو	Soledad (Atlantiko)
سلامیس، قبرص	Salamis (Kipro)
طبس	Tabas
گیدیماغا علاقہ	Gidimaka
پروگرام	Programo
عدسہ (بصریات)	Lenso (optiko)
شہری کاؤنٹی	Metropolaj provincoj de Anglio
سینٹ-گرمین-دے-لونگی-چومے	Saint-Germain-de-Longue-Chaume
جنوبی ایشیاء	Suda Azio
لا مولاٹیری	La Mulatière
آفتاب نصف شب	Noktomeza suno
کیمروز، البرٹا	Camrose
سین-فلبرٹ-دو-پیوپل	Saint-Philbert-du-Peuple
مکاؤباس	Macaúbas
بنو اوس	Aŭoj
صوبہ عسير	Emirlando Asiro
چہار حشرات خاتمہ مہم	Granda paserkampanjo
عالم اسلام	Islama mondo
ٹرنی	Turny
جاسزسزنتلاسزلو	Jászszentlászló
مخطط صارفی سطح البین	Grafika uzantinterfaco
سین-پورچیرے	Saint-Porchaire
فہرست امریکی ریاستی عرفیت	Listo de usonaj subŝtataj kromnomoj
محمد مہدی	Mahdo
جاشا ٹومیس، سے چانج	Jaŝa Tomicj
سوویت اتحاد کی خودمختار سوویت اشتراکی جمہوریات	Aŭtonomaj respublikoj de Sovetio
سین-پروے، یون	Saint-Privé (Yonne)
عدل علاقہ	Awdal
آیوالیک	Ayvalık
سین-رمے-لیس-چوریسے	Saint-Rémy-lès-Chevreuse
لاتینا (میڈریڈ)	Latina (Madrido)
جمہوریہ اپر وولٹا	Supera Voltalando
فرانسیسی اپر وولٹا	Franca Supra Volto
صحرائے چولستان	Dezerto de Ĉolistano
فرانسیسی داهومی	Franca Dahomejo
میڈوے	Medway
گرٹن	Girton College (Kembriĝo)
ظہیر الدین محمد بابر	Babur
باگو، برما	Bago
حیاتیاتی ہندسیات	Biologia organizado
بلاگووگراد صوبہ	Provinco Blagoevgrad
بنادر	Banaadir
انجیل برناباس	Evangelio de Barnabaso
بارانکاورمخا	Barrancabermeja
بارٹوشوویک	Bartošovice
باشکیر خودمختار سوویت اشتراکی جمہوریہ	Baŝkira ASSR
تبدیلی از بنیاد سمتیہ	Ŝanĝo de bazo
باتھ اور شمال مشرقی سامرسیٹ	Bath and North East Somerset
باٹیکالوا	Batticaloa
بای، صومالیہ	Bay (Somalio)
باشقلعہ	Başkale
شنتومت	Ŝintoismo
جنوبی قازقستان صوبہ	Provinco Suda Kazaĥio
بلدوین	Beledweyne
بیلن، ہاتے	Belen (Turkio)
وقف	Ŭakfo
ببلیوتیکا امبروسیانا	Ambrozia librejo
لا فیرتے-لوپیری	La Ferté-Loupière
لاگوس ریاست	Lagosa Ŝtato
سینٹ-کنری-لے-گری	Saint-Céneri-le-Gérei
بییو، انتیوکیا	Bello (Kolombio)
تشکیلی علوم	Formalaj sciencoj
فروری 2012ء	Februaro de 2012
ٹومب رایڈر ژیان کا خنجر	Tomb Raider 2
بسنی	Behesni
لکڑکاری	Lignoprilaboro
بنی ملال	Beni Mellal
کوانتان	Kuantan
سلطات	Settat
لا فلوتی	La Flotte
سینٹ-البن-لیسسے	Saint-Alban-Leysse
لا کواردی-سور-میر	La Couarde-sur-Mer
سینٹ مائیکل، بارباڈوس	Sankta Mikaelo (Barbado)
ہاپاویسی	Haapavesi
کوہ اولمپس (قبرص)	Olimpo (Kipro)
جامع مسجد ژیان	Moskeo de Ŝjiano
سہاگن، اسپین	Sahagún
غاروی	Garoowe
شلوار قمیض	Ŝaravaro
ناظور	Nador
لیپوسکشن	Liposukcio
ریوآچا	Riohacha
مابعدالطبیعیاتی شعراء	Metafizikaj poetoj
پسندیدہ ملک (سیاست)	Samfavora klaŭzo
سالماتی گھڑی	Molekula horloĝo
الف پیما	Kilometro
سابلے-سور-سارتھے	Sablé-sur-Sarthe
فہرست ترکمانستان کے شہر	Listo de urboj de Turkmenio
سینٹ-فونس	Saint-Fons
لاریڈو، کانٹابریا	Laredo (Hispanio)
فہرست شام کے شہر	Listo de urboj de Sirio
مملکت مقرہ	Makuria
سینٹ-گنگولف، ہوتے-سوائے	Saint-Gingolph (Haute-Savoie)
حوا	Eva
تریبسز	Trybsz
حوض بیت حسدا	Lageto Betesda
سینٹ-گیورگس-دے-دیدوں نے	Saint-Georges-de-Didonne
اوسٹریکا	Ostrakono
گیرالڈا	Giraldo
سچسنکم	Sachsenkam
توتن، سربیا	Tutin
جنت	Jannaho
جیڈ، جرمنی	Jade
روس کے اوبلاست	Provinco (Rusio)
شیر خوار اموات	Infana mortindico
گرونماخر (صوبہ)	Kantono Grevenmacher
رحلت مصر	Fuĝo al Egiptio
جبلونیک ناد نسو ضلع	Distrikto Jablonec nad Nisou
جیوری	Ĵurio
ذخیرۂ توانائی	Konservado de energio
طبعہ نگاری	Kompostado
خالص ریاضی	Pura matematiko
امام علی مسجد	Moskeo Imamo Ali
صدر ایران	Prezidanto de Irano
سینٹ-ڈینس-لیس-بارگ	Saint-Denis-lès-Bourg
شبرغان	Ŝebergan
فسطاط	Fustat
کازامنس	Kazamanco
سینٹ-فلورینٹین، یونے	Saint-Florentin
سمعانداغ	Samandağ
فیانارانتسوا صوبہ	Fianarantsoa (provinco)
جاپانی مجموعہ الجزائر	Japana insularo
ہینڈلووا	Handlová
Equality (mathematics)	Egaleco (matematiko)
کلمیم	Guelmim
مشرقی پاکستان	Orienta Pakistano
فہرست شہر بلحاظ آبادی	Listo de milionurboj
بھکت پور	Bhaktapur
ماچکوویک، کرواٹیا	Mačkovec
کلوگرام فی مکعب میٹر	Kilogramo en kuba metro
سینٹ-یفرونے	Saint-Euphrône
کینیڈا کے ڈاک مخففات برائے صوبے اور علاقہ جات	Kanadaj poŝtaj mallongigoj
ساریکامیش	Sarikamiŝ
نظریۂ شمارندگی	Teorio de komputado
غازی پاشا	Gazipaşa
بو، سیرالیون	Bo (urbo)
کراولی	Crawley
خلیج کچھ	Kutĉ-Golfo
آناؤ	Annau
سینٹ-آبن-سر-مر، کلودوس	Saint-Aubin-sur-Mer (Calvados)
ویاندن (صوبہ)	Kantono Vianden
Socket 479	Socket 479
ولٹن، سومرسیٹ	Taunton
محمول متصفح	Mikrofoliumilo
آئیسو 639-3	ISO 639-3
سینٹ-مارٹن-دے-رے	Saint-Martin-de-Ré
سات نئے عجائبات فطرت	Sep naturaj mirindaĵoj de la mondo
موریتانیہ کی علاقائی تقسیم	Regionoj de Maŭritanio
گبلے	Gbely
ہرینووا	Hriňová
کوالا تیرنگانو	Kuala Terengganu
یلشاوا	Jelšava
لیپانی	Lipany
سرمبان	Seremban
کاولاک	Kaolack
تحت الشعور	Subkonscio
اسلام آباد وفاقی دارالحکومت	Islamabada Ĉefurba Teritorio
ترکستان (شہر)	Turkistano
مانوکواری	Manokwari
شیہیزی	Ŝihezi
ٹرکی (پالتو)	Hejma meleagro
سینٹ-شمن-لا-سین-بومے	Saint-Maximin-la-Sainte-Baume
سول	Sool (Somalio)
یسوو	Jasło
اصول شمول استشنا	Inkluziveco-ekskluda principo
بین الاختصاصیت	Interdisciplineco
خراج	Ĥaraĉo
درانفجاری حروف صحیح	Injektivo
ٹوپلٹز مصفوفہ	Matrico de Toeplitz
شمس نگار	Heliografo
بیرہ جک	Birecik
آلمدینا بڑا گرجا	Katedralo La Almudeno
مشرقی سطح مرتفع صوبہ	Orientaj Altaj Teroj
فہرست ممالک بلحاظ شرح خواندگی	Listo de ŝtatoj laŭ procento de homoj, kiuj kapablas legi
اینشیری	Inŝiri
غار حرا	Hira
عبادت	Diservo
آبادیات ارجنٹائن	Demografio de Argentino
ڈریجر	Dragado
مونتیریا	Monteria
صوبہ الباحہ	Emirlando Bahao
سبراگموا علاقہ	Sabaragamuwa
بلال قصر	Belalcázar
اگویلار د لا فرنتیرا	Aguilar de la Frontera
محافظہ مفرق	Mafrako
ناندیڑ	Nanded
دالی شہر	Dali
سرگودھا	Sargodha
کلانگ	Klang
خطِ عالم	Monda linio
ہربانووو	Hurbanovo
کتب خانہ اشور بنی پال	Biblioteko de Aŝurbanipal
کتب خانہ پرگامم	Biblioteko de Pergamo
مغربی صوبہ، سری لنکا	Okcidenta Provinco (Srilanko)
جدو	Gedo
تصادفی چال	Hazarda promenado
کیمبرج (ضد ابہام)	Kembriĝo
گولمود	Golmud
