Aphrika	Afriko
Juan Carlos I	Johano Karlo la 1-a (Hispanio)
Assisi	Asizo
Francesco Totti	Francesco Totti
House	Haŭzo
Paskwa	Pasko
Chişinău	Kiŝinevo
Germanu rimaykuna	Ĝermana lingvaro
Hebei pruwinsya	Hebejo
Q'arachupa	Didelfedoj
Taywan	Tajvano
Qaralla rapra	Himenopteroj
Allpa wira	Nafto
Urmiyun	Betono
Tinkurachina siwi	Geografia koordinata sistemo
Khillayñan	Fervojo
Suntu	Koleopteroj
Sapatu	Ŝuo
Qullqi wasi	Banko
Mikhurana	Majorano
Yana rayan	Nigra sambuko
Ñukñu	Patrina lakto
Rumi	Ŝtono
Runa ñit'inakuy	Loĝdenso
Qaqa siqay	Grimpado
Bath	Bath
Ilanda wat'a	Irlando (insulo)
Bradford	Bradford
Northumberland	Northumberland
West Yorkshire	Okcidenta Jorkŝiro
North Yorkshire	North Yorkshire
East Riding of Yorkshire	East Riding of Yorkshire
1	1
Norfolk	Norfolk (Anglio)
Cornwall	Kornvalo
Bristol	Bristolo
Devon	Devon
Dorset	Dorset
10	10
Nashville (Tennessee)	Naŝvilo (Tenesio)
20	20
30	30
Kent	Kent
40	40
Salt Lake City (Utah)	Sallaga Urbo
9	9
Edmund Barton	Edmund Barton
7	7
Sussex	Graflando Sussex
8	8
Qanchis	7 (nombro)
Pusaq	8 (nombro)
Taylor Lautner	Taylor Lautner
Jeremy Renner	Jeremy Renner
12	12
Jean-Auguste-Dominique Ingres	Jean Auguste Dominique Ingres
Simana	Semajno
Luwichu	Cervedoj
Chullunku	Glacio
Yayayku	Patro nia
Qucha	Lago
Ahus	Ajlo
Musée d'Orsay	Musée d'Orsay
Bouvet Wat'a	Buvet-Insulo
930	930
13	13
985	985
1122	1122
981	981
939	939
Kachun	Kukumo
Ernest Hemingway	Ernest Hemingway
Edinburgh	Edinburgo
51	51
Octave Mirbeau	Octave Mirbeau
Wat'a	Insulo
Yuraq	Blanko
Yana	Nigro
814	814
678	678
950	950
679	679
996	996
680	680
37	37
980	980
900	900
1129	1129
Chris Pine	Chris Pine
843	843
Lordi	Lordi
690	690
691	691
988	988
692	692
476	476
693	693
Marseille	Marsejlo
694	694
695	695
Siwilla	Cepo
696	696
Suqta	6 (nombro)
697	697
698	698
Tukri simi	Oficiala lingvo
699	699
700	700
Moshchena	Moŝĉena
701	701
702	702
703	703
Chilltu	Tomato
704	704
705	705
706	706
68	68
89	89
707	707
708	708
Phong Nha-Ke Bang mamallaqta parki	Nacia Parko Phong Nha-Ke Bang
709	709
11	11
710	710
711	711
712	712
713	713
714	714
Islaw rimaykuna	Slava lingvaro
715	715
Dmitri Medvédev	Dmitrij Medvedev
716	716
717	717
718	718
Entrena	Entrena
719	719
Chawpipacha	Ekvatoro
720	720
Mat'iykay	Protestantismo
721	721
722	722
723	723
724	724
Mérida (Winisuyla)	Merido (Venezuelo)
725	725
726	726
Atlanta (Georgia)	Atlanta (Georgio)
727	727
Benito Mussolini	Benito Mussolini
728	728
729	729
963	963
730	730
Podgorica	Podgorico
731	731
962	962
732	732
733	733
997	997
734	734
972	972
735	735
955	955
901	901
736	736
737	737
936	936
738	738
953	953
902	902
739	739
15	15
740	740
Chawpi	Centro (matematiko)
14	14
741	741
742	742
17	17
743	743
958	958
744	744
500	500
745	745
150	150
746	746
880	880
747	747
748	748
Simi qullqa	Vortaro
749	749
870	870
903	903
750	750
751	751
752	752
Uma	Kapo
753	753
987	987
754	754
965	965
755	755
924	924
951	951
932	932
Wellington	Velingtono
Hatun Britanya	Britio (insulo)
23	23
800	800
Jimmy Carter	Jimmy Carter
120	120
Llaqta taki	Nacia himno
42	42
967	967
989	989
960	960
969	969
957	957
1124	1124
971	971
Tawantin iñu	Kompasdirektoj
937	937
992	992
990	990
899	899
975	975
942	942
966	966
1128	1128
959	959
973	973
18	18
Isku rumi	Kalkoŝtono
19	19
16	16
21	21
26	26
41	41
32	32
33	33
982	982
974	974
976	976
979	979
986	986
919	919
998	998
Palistina	Palestino
995	995
977	977
1125	1125
Valletta	La-Valeto
934	934
Chunka	10 (nombro)
Iñuku ñiqi	Atomnumero
Alfred Nobel	Alfred Nobel
200	200
876	876
875	875
810	810
929	929
882	882
1127	1127
940	940
889	889
Ñaqch'a	Kombilo
844	844
912	912
838	838
984	984
874	874
38	38
43	43
127	127
954	954
39	39
24	24
79	79
61	61
104	104
29	29
102	102
866	866
Juan XXIII	Johano la 23-a
839	839
622	622
918	918
100	100
Lila Downs	Lila Downs
961	961
Wañusqa Qucha	Morta Maro
570	570
632	632
Andrew Garfield	Andrew Garfield
946	946
835	835
884	884
859	859
832	832
849	849
877	877
878	878
861	861
869	869
968	968
983	983
964	964
1121	1121
1123	1123
933	933
915	915
970	970
911	911
993	993
991	991
994	994
898	898
944	944
907	907
943	943
945	945
922	922
905	905
941	941
925	925
928	928
948	948
947	947
949	949
926	926
Mit'a	Sezono
126	126
101	101
105	105
108	108
117	117
115	115
K'illimsa	Terkarbo
22	22
46	46
25	25
153	153
156	156
31	31
825	825
Vancouver	Vankuvero
301	301
116	116
886	886
330	330
860	860
842	842
165	165
871	871
893	893
203	203
909	909
222	222
931	931
938	938
917	917
160	160
Llaqtayuq Kane	Citizen Kane
28	28
Liverpool	Liverpool
Orson Welles	Orson Welles
85	85
88	88
76	76
54	54
477	477
914	914
920	920
913	913
Albany (New York)	Albany (Nov-Jorkio)
935	935
841	841
Avatar (kuyu walltay)	Avatar (filmo)
820	820
906	906
Bremen	Bremeno
916	916
885	885
Ruray rimana	Verbo
168	168
60	60
47	47
836	836
112	112
854	854
862	862
879	879
887	887
770	770
817	817
864	864
863	863
868	868
855	855
818	818
Woody Allen	Woody Allen
837	837
845	845
Atisqa kay	Potenco (filozofio)
RMS Titanic	RMS Titanic
166	166
Ch'usiqa	Strigoformaj birdoj
Cam Ranh antanka pampa	Flughaveno Cam Ranh
Kastilla suksu	Merlo
Ura	Horo
Allwirha	Ĝardena pizo
Ramran	Alno
Tulluyuq	Vertebruloj
Awidul	Betulo
2016	2016
Urmamuq yakukuna	Precipitaĵo
Mit'a yachay	Meteologio
552	552
Aphruasyatiku rimaykuna	Afrikazia lingvaro
2019	2019
Ayti wat'a	Hispaniolo
Harrisburg (Pennsylvania)	Harrisburg (Pensilvanio)
Qhurita	Petroselo
Llasaq kay	Pezo
2017	2017
2018	2018
Kilta rimaykuna	Kelta lingvaro
Takana	Martelo
Rimaykunap ayllun	Lingva familio
6 ñiqin pachakwata kñ	6-a jarcento a.K.
1 ñiqin pachakwata kñ	1-a jarcento a.K.
2 kñ	-2
1 kñ	-1
2 ñiqin pachakwata kñ	2-a jarcento a.K.
Washington	Washington
Racibórz	Racibórz
Pichilemu	Piĉilemo
Aycha uquq ñuñuq	Karnomanĝuloj
Hillurina yura rikch'aq ayllu	Orkidacoj
Pallaysu	Blato
Unchuchukuy	Vizelo
Iskaylla rapra	Dipteroj
Qatasqa muruyuq	Angiospermoj
Phan Thiet	Phan Thiết
3 ñiqin pachakwata kñ	3-a jarcento a.K.
Llamp'uka	Moluskoj
K'uslulu	Kokcinelo
Antoni Gaudí	Antoni Gaudí
Iskay ruk'anayuq	Parhufuloj
Trenton (New Jersey)	Trenton
4 ñiqin pachakwata kñ	4-a jarcento a.K.
2020	2020
Quyllur llaqtayuq wawamanta	La Eta Princo
5 ñiqin pachakwata kñ	5-a jarcento a.K.
7 ñiqin pachakwata kñ	7-a jarcento a.K.
Arpay	Povumo
8 ñiqin pachakwata kñ	8-a jarcento a.K.
Rumi millma	Muskoj
Asulun	Platbeka anaso
Yaku quyllur	Marstelo
Awitu	Abio
Kalalit simi	Gronlanda lingvo
Alamu	Poploj
Pinchikilla hark'ay	Elektra rezistanco
123 kñ	-123
234 kñ	-234
Lagartu	Krokodilulo
Qaraqruyuwa	Krustacoj
Lakachu	Duvalvulo
Hap'iq pisqu	Falkoformaj birdoj
K'apa challwa	Kartilagaj fiŝoj
Ch'ulla ruk'anayuq	Neparhufuloj
Chukcha k'utu	Libelo
Leeuwarden	Leeuwarden
Ruysiñur	Najtingalo (birdo)
Ch'antasqa tuktuyuq rikch'aq ayllu	Asteracoj
Rinrisapa khankiq	Leporuloj
Haya	Fago
9 ñiqin pachakwata kñ	9-a jarcento a.K.
10 ñiqin pachakwata kñ	10-a jarcento a.K.
Pinchikilla mast'ay	Elektra tensio
Yaku waka	Sireno (besto)
Ura sahun simi	Platgermana lingvo
Yaka-yaka	Pegedoj
K'arachiq	Knidulo
Berber rimaykuna	Berbera lingvaro
Sillwi kuru	Anelidoj
600	600
400	400
300	300
Muruyuq	Semplantoj
Waranqachaki	Miriapodo
Palama uquq ñuñuq	Insektomanĝuloj
Antilupi	Antilopo
Chupasapa ukucha	Musedoj
Eskimo aleut rimaykuna	Eskim-aleuta lingvaro
Hermann Hesse	Hermann Hesse
Klawil yura rikch'aq ayllu	Kariofilacoj
Wayra tanqana	Velo
Madeira	Madejro
Purus mayu	Puruzo
T'ika pilli	Tusilago
Niccolò Cusano Yachay Suntur	Università degli Studi Niccolò Cusano
Killa mit'a	Luna fazo
Montpelier (Vermont)	Montpelier (Vermonto)
Tilburg	Tilburg
1040 watakuna	1040-aj jaroj
Sullu	Feto
Tsalaki siq'i llumpa	Ĉeroka skribo
Qipuncha yura rikch'aq ayllu	Boragacoj
Fukuoka	Fukuoka
Yuraqkunka suksu	Rubandoturdo
San Andrés wan Providencia suyu	Sankta Andreo kaj Providenco
Bolívar llaqta (Winisuyla)	Ciudad Bolívar
Arctium lappa	Lapo
Na diné rimaykuna	Na-denea lingvaro
Willk'uyuyu	Ĝardenkreso
Kallpaq suntu	Grundoskarabo
Nihun hatun qucha	Japana Maro
Ch'uchu yura rikch'aq ayllu	Sapindacoj
Tullu challwa	Ostaj fiŝoj
Athapaska rimaykuna	Atabaska lingvaro
Iwrafrasya	Afrik-Eŭrazio
Qiwlla	Mevo
Chawpi Awya Yala	Centra Ameriko
Tampu wasi	Hotelo
Dene Suline simi	Ĉipevajana lingvo
Taki	Kantado
Yupik simi	Jupika lingvaro
Pikikuy	Flavkrura tringo
Akan simi	Akana lingvo
Kawallu chupa	Ekvizeto
Kanila	Cinamo
Jefferson City (Missouri)	Jeffersonurbo (Misurio)
Jackson (Mississippi)	Jackson (Misisipio)
Augusta (Maine)	Augusta (Majno)
Baton Rouge (Louisiana)	Baton Rouge (Luiziano)
Lansing (Michigan)	Lansing (Miĉigano)
Amhara simi	Amhara lingvo
Concord (New Hampshire)	Concord (Nov-Hampŝiro)
Askanku	Erinacedoj
Lincoln (Nebraska)	Lincoln (Nebrasko)
Annapolis (Maryland)	Annapolis (Marilando)
Apiyu	Vera celerio
Pillpintu	Lepidoptera
Isparaw	Asparago
Masu	Kiropteroj
Allqitu	Ĥaradriedoj
36	36
Chukcha	Haro
Iruru muyu	Perimetro
Siwanku	Ĉimaĉimo
Springfield (Illinois)	Springfield (Ilinojo)
Achuqalla	Musteloj
Suqus	Phragmites australis
Maya hawaykawsay	Majaoj
Tawantinsuyu	Inkaa imperio
Punku p'anqa: Rimay	Portalo:Lingvo
Frankfort (Kentucky)	Frankfort (Kentukio)
Pruphisyun	Profesio
Anis	Anizo
Parya	Pasero
P'acha	Tekstila
Saint Paul (Minnesota)	Saint Paul (Minesoto)
Lahti	Lahti
Christopher Marlowe	Christopher Marlowe
Francisco Franco	Francisco Franco
Hatun yaya	Episkopo
Martti Ahtisaari	Martti Ahtisaari
Willis Tower	Willis-Turo
Canterbury	Canterbury
Maniche	Maniche
Montgomery (Alabama)	Montgomery (Alabamo)
Asam simi	Asama lingvo
Juneau (Alaska)	Juneau
Chunwa	Ĉinio
Beatrix Urasuyu-manta	Beatrikso (Nederlando)
815	815
816	816
822	822
840	840
823	823
811	811
771	771
888	888
768	768
851	851
205	205
159	159
107	107
162	162
103	103
802	802
804	804
119	119
Chengdu	Ĉengduo
118	118
Ewe simi	Evea lingvo
801	801
807	807
806	806
152	152
240	240
218	218
655	655
496	496
238	238
197	197
451	451
775	775
489	489
784	784
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
Michiy	Paŝtejo
636	636
408	408
464	464
410	410
956	956
952	952
658	658
Kachu k'arachiq	Meduzo
650	650
518	518
70	70
Kuraka	Urbestro
81	81
69	69
87	87
65	65
66	66
67	67
55	55
34	34
44	44
35	35
64	64
504	504
Asuka	Fokuloj
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
978	978
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
Zhengzhou	Ĝengĝoŭo
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
Umalliq	Prezidanto
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mikhail Gorbachov	Miĥail Gorbaĉov
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
758	758
350	350
Mama Tirisa Kolkatamanta	Patrino Teresa
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
648	648
686	686
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
225	225
311	311
220	220
541	541
642	642
Oscar Wilde	Oscar Wilde
313	313
180	180
794	794
587	587
530	530
609	609
Kiribati simi	Kiribata lingvo
497	497
540	540
428	428
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
291	291
48	48
Chamiku	Ordinara daturo
97	97
56	56
93	93
57	57
Ransis Pulinisya	Franca Polinezio
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
Altu llaqta	El Alto
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
508	508
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
630	630
614	614
505	505
446	446
791	791
557	557
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
521	521
92	92
597	597
329	329
Kraków	Krakovo
133	133
413	413
258	258
Chhukruna	Beko
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
191	191
450	450
612	612
635	635
611	611
534	534
488	488
607	607
524	524
282	282
472	472
471	471
Guadalupe Pallan (Mishiku)	Nia Damo de Gvadalupo
490	490
316	316
797	797
511	511
295	295
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Yapay	Adicio
284	284
283	283
Chikichasqa Rikch'aq Puka Sutisuyu	Internacia Ruĝa Listo de Endanĝeritaj Specioj
241	241
243	243
262	262
498	498
336	336
334	334
266	266
Saqmanakuy	Boksado
261	261
470	470
349	349
271	271
275	275
292	292
296	296
345	345
431	431
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
Ruquna	Tranĉilo
FC Schalke 04	FC Schalke 04
288	288
Carlos V	Karlo la 5-a (Sankta Romia Imperio)
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
Diyula simi	Ĝula lingvo
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Siwra	Zebro
276	276
Miskita	Moskeo
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
214	214
213	213
212	212
Chahta simi	Ĉakta lingvo
228	228
227	227
149	149
174	174
189	189
199	199
Dzonkha simi	Dzonka lingvo
141	141
Kariwa rimaykuna	Kariba lingvaro
132	132
125	125
123	123
147	147
Bantu rimaykuna	Bantua lingvaro
144	144
198	198
178	178
177	177
Urin anti asya rimaykuna	Aŭstralazia lingvaro
187	187
195	195
Wallpasqa simi	Konstruita lingvo
186	186
347	347
620	620
Siwuyanu simi	Cebua lingvo
Bambara simi	Bambara lingvo
624	624
605	605
629	629
Chinchay	Oceloto
616	616
615	615
Chichewa simi	Njanĝa lingvo
644	644
646	646
633	633
637	637
Phiyi simi	Fiĝia lingvo
436	436
434	434
Drawida rimaykuna	Dravida lingvaro
293	293
427	427
185	185
Chuwash simi	Ĉuvaŝa lingvo
321	321
Ganda simi	Ganda lingvo
327	327
430	430
Tsalaki simi	Ĉeroka lingvo
Kri simi	Kria lingvo
Leon Trotsky	Lev Trockij
Algonkin rimaykuna	Algonkena lingvaro
447	447
Little Rock (Arkansas)	Little Rock (Arkansaso)
569	569
568	568
444	444
IUPAC	IUPAK
796	796
Fula simi	Fula lingvo
Yupa huqariy	Potenco (matematiko)
798	798
793	793
Eugène Delacroix	Eugène Delacroix
685	685
Hartford (Connecticut)	Hartford (Konektikuto)
799	799
683	683
Musiyu	Muzeo
274	274
Dover (Delaware)	Dover (Delavaro)
579	579
Iranu rimaykuna	Irana lingvaro
281	281
Lak'ota simi	Lakota lingvo
306	306
438	438
Yawa simi	Java lingvo
297	297
421	421
298	298
Hawayi simi	Havaja lingvo
Rwanda simi	Ruanda lingvo
351	351
Indu rimaykuna	Hindarja lingvaro
Igbo simi	Igba lingvo
352	352
Rundi simi	Burunda lingvo
Kikuyu simi	Kikuja lingvo
355	355
Hatun panda	Granda pando
Yuraq ukumari	Blanka urso
95	95
94	94
Irukisa rimaykuna	Irokeza lingvaro
594	594
542	542
448	448
445	445
305	305
234	234
565	565
Otomanki rimaykuna	Otomi-mangea lingvaro
Kannada simi	Kannada lingvo
381	381
Nasa simi	Nasaa lingvo
385	385
Kongo simi	Konga lingvo
Nilusaharu rimaykuna	Nilo-sahara lingvaro
553	553
307	307
584	584
Mapudungun simi	Mapuĉa lingvo
346	346
257	257
Maya rimaykuna	Majaa lingvaro
Illap'u	Fulmo
285	285
591	591
Mungul rimaykuna	Mongola lingvaro
289	289
Bertrand Russell	Bertrand Russell
Maki	Mano
T'u Fu	Du Fu
563	563
Kanaki	Nov-Kaledonio
252	252
Oriya simi	Odia lingvo
Edmund Hillary	Edmund Hillary
Nipali simi	Nepala lingvo
Niqir Kungu rimaykuna	Niĝerkonga lingvaro
595	595
246	246
Oromo simi	Oroma lingvo
Theodore Roosevelt	Theodore Roosevelt
Anishinapay simi	Aniŝinabeka lingvo
596	596
593	593
357	357
573	573
Uluru	Uluru
Simun Pidru	Sankta Petro
Chikusluwakya	Ĉeĥoslovakio
Nice	Nico
Usit simi	Oseta lingvo
Raphi	Folio
Jules Verne	Jules Verne
Niwari simi	Nevara lingvo
Valparaíso	Valparaiso
Sindi simi	Sinda lingvo
Aranway pukllaq	Aktoro
Sunda simi	Sunda lingvo
Shona simi	Ŝona lingvo
Marañun sach'a	Akaĵuo
Samwa simi	Samoa lingvo
Marlon Brando	Marlon Brando
Swasi simi	Svazia lingvo
Phaqcha	Akvofalo
559	559
599	599
326	326
Tagalu simi	Tagaloga lingvo
Yitzhak Rabin	Jicĥak Rabin
341	341
Tibetu birmanu rimaykuna	Tibetobirma grupo
322	322
Tupi rimaykuna	Tupia lingvaro
Utu astika rimaykuna	Jut-azteka lingvaro
Justin Bieber	Justin Bieber
Turku rimaykuna	Tjurka lingvaro
Tonga simi	Tongana lingvo
Champi	Bronzo
Liyun simi	Leona lingvo
Fargo (North Dakota)	Fargo (Norda Dakoto)
Oaxaka	Oaxaca
Ural rimaykuna	Urala lingvaro
386	386
Tahiti simi	Tahitia lingvo
Tiñiqi	Cilindro
Tswana simi	Cvana lingvo
374	374
380	380
Tay kaday rimaykuna	Kradaja lingvaro
Mantikilla	Butero
Luba simi	Luba lingvo
Dyusmanta yachay	Teologio
Siyu rimaykuna	Hoka-siua lingvaro
Pablo Neruda	Pablo Neruda
Yasser Arafat	Jaser Arafat
Oxford	Oksfordo
136	136
Wolof simi	Volofa lingvo
Port au Prince	Portoprinco
Tibet simi	Tibeta lingvo
Alliwillay	Evangelio
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
Yoruba simi	Joruba lingvo
Ñengatu	Nengatua lingvo
Sesotho simi	Sota lingvo
Rotterdam	Roterdamo
Kriti	Kreto (insulo)
Waqachina	Muzika instrumento
Yuku	Cigno
T'arta	Sapo
New Orleans (Louisiana)	Nov-Orleano
Benazir Bhutto	Benazir Bhutto
Shakira	Shakira
Oxford Yachay Suntur	Universitato de Oksfordo
Ñan	Vojo
Boris Yeltsin	Boris Jelcin
Ñit'isqa phiruru	Kompakta disko
Hirohito	Hirohito
Pillwinkumpa	Helikoptero
Mutur phirunku	Motorciklo
Hatun mayu khuchi	Amfibia hipopotamo
Kuyuq rikch'a waqaychana allwiya	Video
382	382
342	342
373	373
372	372
Ichirō Mizuki	Mizuki Ichirō
Paqariy	Nasko
Ruk'ana	Fingro
Kyōto	Kioto
Chunkantin Kamachiykuna	La Dekalogo
1980 watakuna	1980-aj jaroj
Kristiyanu inlisya	Eklezio
1990 watakuna	1990-aj jaroj
Joanne K. Rowling	J. K. Rowling
Hiroshima	Hiroŝimo
Albert Camus	Albert Camus
Aqu	Sablo
Waysallpu	Rozo
Kingston	Kingstono
Rikch'ayrimana	Adjektivo
Misti hawar	Leopardo
Salzburg	Salzburg
Sinqawaqra	Rinoceredoj
Suyu rikuchiq	Kompaso
Rikch'ana	Genro (biologio)
Rudyard Kipling	Rudyard Kipling
Yaqa wat'a	Duoninsulo
Friedrich Engels	Friedrich Engels
Sinkiyan Uyq'ur	Ŝinĝjango
Musuq Wata	Novjaro
Santo Domingo llaqta	Sankta Domingo
Tequixquiac	Tequixquiac
Elizabeth Taylor	Elizabeth Taylor
Oklahoma llaqta	Oklahomaurbo (Oklahomo)
Papaya	Papajo
375	375
Brisbane	Brisbano
Benjamin Franklin	Benjamin Franklin
Isaac Asimov	Isaac Asimov
Kimsantin llaqta	Trinidad (Bolivio)
1970 watakuna	1970-aj jaroj
2000 watakuna	2000-aj jaroj
Putusi	Potosí (urbo)
Agatha Christie	Agatha Christie
Noemi (takiq)	Noemi
Wilhelm Conrad Röntgen	Wilhelm Conrad Röntgen
Odisya	Odiseado
Rirpu	Spegulo
Ido	Ido (lingvo)
Satanas	Satano
Uru Uru	Oruro (urbo)
Puma	Pumo
44 kñ	-44
387	387
Titiqaqa qucha	Lago Titikako
Rikch'aq ayllu	Familio (biologio)
Wintana	Fenestro
Madina	Medino
242 kñ	-242
248 kñ	-248
Mach'ay	Kaverno
258 kñ	-258
257 kñ	-257
Alsi	Alko
253 kñ	-253
246 kñ	-246
245 kñ	-245
Chapaq	Polico
Q'eqchí simi	Kekĉia lingvo
249 kñ	-249
252 kñ	-252
Paul Cézanne	Paul Cézanne
240 kñ	-240
254 kñ	-254
256 kñ	-256
Wichol simi	Viĉola lingvo
251 kñ	-251
Hokkaido	Hokajdo
250 kñ	-250
244 kñ	-244
243 kñ	-243
255 kñ	-255
Awirinri	Zingibro
Nobel Suñay Qasikaypi	Nobel-premio pri paco
Hatun chullunku	Glaĉero
Uturunku	Jaguaro
1930 watakuna	1930-aj jaroj
1960 watakuna	1960-aj jaroj
1920 watakuna	1920-aj jaroj
Rimana huñunakuy	Parlamento
Imayay	Materio
Ōsaka	Osako
247 kñ	-247
Boise (Idaho)	Boise (Idaho)
Cambridge Yachay Suntur	Universitato de Kembriĝo
Ruraq atiy	Plenuma povo
Baruch Spinoza	Baruĥ Spinozo
Uhu	Tuso
Yamt'a	Brulligno
259 kñ	-259
Chinantika simi	Ĉinanteka grupo
Puñuy	Dormo
Bawtisay	Bapto
Qharqayuy	Astmo
Wamp'u	Boato
Waraniyi simi	Gvarania lingvo
Aral qucha	Aralo
Sport Club Corinthians Paulista	Corinthians
Interlingua	Interlingvao
Pulinisya	Polinezio
İzmir	Izmiro
Mercedes-Benz	Mercedes-Benz
Ho Chi Minh	Ho Chi Minh
Lwiw	Lvivo
Sawsi	Saliko
Minneapolis (Minnesota)	Minneapolis
Muwriy simi	Mosia lingvo
Charles Bronson	Charles Bronson
Muhammad Ali	Muhammad Ali
Allpa	Grundo
Tantachisqa	Aro (matematiko)
Qillqaq	Verkisto
Siligo	Siligo
Nihunpi pacha kuyuy (2011)	Tertremo de Sendajo en 2011
Puerto Montt	Puerto Montt
Lingala simi	Lingala lingvo
Sutip rantin	Pronomo
Václav Havel	Václav Havel
Malayalam simi	Malajala lingvo
Hanllalli	Vokalo
Karu kay	Longo
Kawsay qillqa	Biografio
1950 watakuna	1950-aj jaroj
Salta llaqta	Saltaurbo
Calgary	Kalgario
Paqu ukumari	Bruna urso
Musquy	Sonĝo
Kurdi simi	Kurda lingvo
Lothar Matthäus	Lothar Matthäus
Hatun ukucha	Rato
Chawpi tuta	Noktomezo
Aberdeen	Aberdeen
Shipipu-Qunibu runa	Ŝipiboj
Porto	Porto
Katharina II	Katerina la 2-a (Rusio)
Mawri simi	Maoria lingvo
Hak'u	Faruno
Qhapaq Liyun	The Lion King
Iyun	Jono
Waranqawata	Jarmilo
Francis Drake	Francis Drake
Ruranakuy	Kemia reakcio
P'ukuru	Forno
1940 watakuna	1940-aj jaroj
1900 watakuna	1900-aj jaroj
1910 watakuna	1910-aj jaroj
Den Haag	Hago
Rikch'aq ñiqi	Ordo (biologio)
Gurila	Gorilo
Q'itayay	Prostituo
Ben Tre	Ben Tre
Mitan kamaypaq suti	Dunoma nomsistemo
Rikch'a kapchiy	Vidaj artoj
Yuguslawya	Jugoslavio
Mamut	Mamuto
Rikch'aq suyu	Regno (biologio)
Novial simi	Novialo
Aung San Suu Kyi	Aung San Suu Kyi
Huwanpa qillqasqan	Evangelio laŭ Johano
Punku	Pordo
Taraska simi	Taraska lingvo
Tsotsil simi	Cocila Lingvo
Tawak'uchu	Kvarlatero
Takichaq	Komponisto
Sillu	Ungo
Mama simi	Gepatra lingvo
Urqu wichay	Montogrimpado
Achiksamaytu	Ozono
Salvador (Bahia)	Salvador de Bahio
Lliqti unquy	Lepro
Chaku	Ĉasado
Toshiro Mifune	Mifune Toshiro
Uya	Vizaĝo
Thomas Mann	Thomas Mann
Tallahassee (Florida)	Tallahassee (Florido)
