Yn Affrick	Afriko
Ellanyn Ashmore as Cartier	Aŝmora kaj Kartia Insuloj
Organisation internationale de la Francophonie	Internacia Organizaĵo de la Franclingvio
Cryss (eaddeeyn)	Zono (vestaĵo)
Blissane	Artiŝoko
Eilat	Ejlato
Boalley yn Accan	Muro de lamentadoj
Screeu fockle	Vorterosigno
Brest, y Velaroosh	Bresto (Belorusio)
Pobblaght ny Sheckoslovack (1918-1938)	Unua respubliko de Ĉeĥoslovakio
Meidil	Mespilujo
Blaa greiney	Terpiro
Keirn (billey)	Birdokaptista sorbuso
Brashlagh rangagh	Blanka sinapo
Brassica oleracea	Legoma brasiko
Lepidium	Lepidio
Berrish ghoo	Nigra ribo
Berrish yiarg	Ruĝa ribo
Corockle daa-veillagh	Bilabialo
Çhengaghyn Anatoalagh	Anatola lingvaro
Cabbash nappinagh	Tigobrasiko
Billey greimmey	Adstringa sorpujo
Yn Chashoob	Kaŝubio
Blaa Nollick	Nigra heleboro
Billey kidrane	Cedrato
Queiggaghyn ny Polynn	Provincoj de Pollando
Burgoonish (Germaanagh)	Burgundoj
Burley	Akvokreso
Caaylag	Burĝonbrasiko
Sphinx	Sfinkso (greka mitologio)
Wikipedia:Kanys duillag dy reaghey	Helpo:Redakti
Fillee beg	Kilto
Beetys shugyr	Sukerbeto
Macro-hengey ISO 639	Makrolingvo
Prowaltys Hershey-Chase	Eksperimento de Hershey kaj Chase
Sheeinteyder	Bluzo
Cooat	Jako
Cabbash chraplit	Savoja brasiko
Bertie Ahern	Bertie Ahern
Karlheinz Stockhausen	Karlheinz Stockhausen
Ushylagh killag	Ĉelskeleto
Eretz Israel	Izraela Lando
Spirited Away	La vojaĝo de Ĉihiro
Kronstadt	Kronŝtadt
Alfalfey	Luzerno
Powys	Powys
Penshyn	Pensio
Ardmarragh jiarg	Admiral-papilio
Billey rubbyr	Kaŭĉukarbo
Çhengaghyn Oogragh	Ugra lingvaro
Beih argid	Penda betulo
Unjin (billey)	Ordinara frakseno
Blaa arroo	Cejano
Shykey	Sikomora acero
Rumex	Rumekso
Beih yiarg	Lanuga betulo
Beih veg	Nana betulo
Blaa slaanee	Leonfaŭko
Billey coyin	Sveda kornuso
Lomonosov, y Roosh	Lomonosov
Brabbanagh	Blua molinio
Cabbash veein	Atriplex
Cleaysh vuc	Kutima aristolokio
An Ghaeltacht	Gaeltacht
Crouw-vlaaghey	Grapolo
Peacag	Taga pavo
Arroghyr	Ĉilia araŭkario
Hetra-veeagheyder	Heterotrofa
Steve McQueen	Steve McQueen
Baboon	Paviano
Faro	Faro (Portugalio)
Harral Godwinson	Harold la 2-a (Anglio)
Queiggey Lion	Leinster
Billey masthag	Lentisko
Inbhir Nis	Inverness
Amhrán na bhFiann	Amhrán na bhFiann
Ruble Belarooshagh	Belarusa rublo
Sarcopterygii	Sarkopterigoj
Sheshengoaylleeaght	Sociolingvistiko
Brattagh ny Shillee	Flago de Ĉilio
Billey ny coyin	Ruĝa kornuso
Vervine (lus)	Verbena officinalis
Guilckagh (lus)	Pika rusko
Cadee lheeanagh	Mallarĝfolia erioforo
Mango	Mangifero
Queiggey Cherkasy	Ĉerkasa provinco
Reeriaght ny Bretyn Mooar	Reĝlando de Granda Britio
Cullee choshey	Piedvesto
Coontae Chorkee	Graflando Cork
Negev	Negevo
Billey plaaney	Platano
Sant-Maloù	Saint-Malo
Jessica Biel	Jessica Biel
Queiggey Kherson	Ĥersona provinco
Hugh Grant	Hugh Grant
Doirrey	Derry
Kópavogur	Kópavogur
Buighan shellee	Pinasparago
Burleek	Malsekema veroniko
Jadowniki, Queiggey ny Polynn Beg	Jadowniki
Queiggey Lviv	Lviva provinco
Queiggey Connaghtey	Connacht
Shillish	Ĉerizarbo
Caayl ny marrey	Mara krambo
Bugogue varrey	Ramnoida hipofeo
Billey shillish figgagh	Prunus padus
Beetys	Ruĝa beto
Eudicotyledonae	Verdukotiledonaj
Fort Lauderdale, Florida	Fort Lauderdale
Heertçh	Sankta Kildo
Co-heshaght Dellal Seyr Oarpagh	Eŭropa Liber-Komerca Asocio
Queiggey Vinnytsia	Vinica provinco
Corys parlamaidagh	Parlamenta demokratio
Kistershee	Cistercianoj
Lhune ooyl	Cidro
Meg Ryan	Meg Ryan
Frans Hals	Frans Hals
Nahariya	Naharija
Queiggey Volyn	Volina provinco
Queiggey Chernihiv	Ĉernihiva provinco
Trooid-ghaalaghey	Planta transpirado
Moan	Môn
Eeast scowanagh	Pulmofiŝoj
Pobblaght Hoveidjagh Hoshiallagh ny Kassaghstaan	Kazaĥa Soveta Socialisma Respubliko
Penmarc'h	Penmarch
Mooir yn Amlee	Sargasa Maro
Queiggey Poltava	Poltava provinco
Howard Phillips Lovecraft	H. P. Lovecraft
Brattagh São Tomé as Príncipe	Flago de Sao-Tomeo kaj Principeo
Coontae ny Galliu	Graflando Galway
Queiggey Kyiv	Kieva provinco
Queiggey Zakarpattia	Transkarpata provinco
Yn Çhaayr	Chester
Queiggey Sumy	Sumia provinco
Armys ny Polynn	Blazono de Pollando
Taganrog	Taganrog
Lofsöngur	Lofsöngur
Queiggey Kharkiv	Ĥarkiva provinco
Queiggey Dnipropetrovsk	Dnipropetrovska provinco
Mirril	Miraklo
Pobblaght Hoveidjagh Hoshiallagh ny Moldaav	Moldava Soveta Socialisma Respubliko
Crackan-oaylleeaght	Haŭtmedicino
The Princess and the Frog	The Princess and the Frog
Queiggey Khmelnytskyi	Ĥmelnicka provinco
Queiggey Zaporizhia	Zaporiĵa provinco
Ashdod	Aŝdod
Coondaeghyn Hostyn	Graflandoj de Anglio
Queiggey Odessa	Odesa provinco
Queiggey Luhansk	Luganska provinco
Lady and the Tramp	Lady and the Tramp
Arrane Ashoonagh ny h-Argenteen	Himno Nacional Argentino
Reeriaght ny h-Iddaal	Itala reĝlando
Coigee	Teksilo
Coontae Cheeill Darey	Graflando Kildare
Mooir Weddell	Maro de Weddell
Éamon de Valera	Éamon de Valera
Queiggey Ternopil	Ternopila provinco
Coontae Ghivlyn	Graflando Dublino
Abbey Road	Abbey Road
Pobblaght Hoveidjagh Hoshiallagh ny Litaan	Litova Soveta Socialisma Respubliko
Queiggey Rivne	Rivna provinco
Reeriaght Unnaneysit ny Bretyn Mooar as Nerin	Unuiĝinta Reĝlando de Granda Britio kaj Irlando
Co-vunstoo orgaanagh	Organika kombinaĵo
Mary McAleese	Mary McAleese
Farang	Faringo
Michael Moore	Michael Moore
Cass (grammeydys)	Objekto (gramatiko)
Aahjioogh	Traĥeo
Cleeah (cowrey)	Krado
Cryss yn Arctagh	Arkta Cirklo
Cappan FIFA y Theihll 2010	Futbala Mondpokalo 2010
Ocseed ollymin	Aluminia oksido
Otradny, Queiggey Samara	Otradnij
Queiggey Ivano-Frankivsk	Ivano-Frankivska provinco
Coontae Limmeragh	Graflando Limerick
Kentreen	Centriolo
Fuzûlî	Fuzuli
Coontae Vay Eo	Graflando Mayo
Lisa Kudrow	Lisa Kudrow
Ooig-oaylleeaght	Speleologio
Coontae Shliggee	Graflando Sligo
Coontae Ghoon ny Ghoal	Graflando Donegal
Coontae Ros Comain	Graflando Roscommon
Shicklaahengoaylleeaght	Psikolingvoscienco
Euar	Eŭropa taksuso
Coondaeghyn Nerin	Graflandoj de Irlando
Mwaagh slieau	Neĝleporo
Corsaid	Korseto
Coontae Cheeill Chennee	Graflando Kilkenny
Vertebra	Vertebro
Elmint	Elemento
Truru	Truro
Natalie Wood	Natalie Wood
Queiggey Kirovohrad	Kirovohrada provinco
Keisht haaue jeeragh	Puzlo
Amniota	Amniulo
Queiggey Mykolaiv	Mikolajeva provinco
Eliezer Ben-Yehuda	Eliezer Ben-Jehuda
Please Please Me	Please Please Me
Coontae yn Chlaair	Graflando Clare
Coontae Chaarlagh	Graflando Carlow
Sheelaght	Silabaro
With the Beatles	With the Beatles
Camphire	Henao
Çhengoaylleeaght cho-earrooagh	Komputa lingvoscienco
Coontae Cheeill Mantan	Graflando Wicklow
Coontae ny h-Eearvee	Graflando Westmeath
Cercopithecidae	Cerkopitekedoj
Tree cassyn	Triskelo
Coontae Lhoo	Graflando Louth
Coontae ny Mee	Graflando Meath
Purt Largey	Waterford
Raisoam	Rizomo
Coontae Uíbh Fhailí	Graflando Offaly
Coontae Cherree	Graflando Kerry
Coontae Phurt Largey	Graflando Waterford
Coontae Logh Garman	Graflando Wexford
Coontae Hybbyrt Aarey	Graflando Tipperary
Jeihagane	Deklatero
Ogham	Ogamo
The Aristocats	The Aristocats
Coontae Vuinaghan	Graflando Monaghan
Myn-ockle	Partikulo
Abjad	Abjad
Kione çheerey	Kabo (geografio)
Brian Cowen	Brian Cowen
Caghlaa-stayd	Faztransiro
Slyst Haifa	Distrikto Ĥajfo
Coontae yn Lhongfort	Graflando Longford
Brattagh Vannin	Flago de la Manksinsulo
Armys Nerin	Blazono de Irlando
Coontae yn Chavan	Graflando Cavan
Álvaro Uribe Vélez	Álvaro Uribe Vélez
Lusitania (lhong)	RMS Lusitania
Keyllys Kerch	Kerĉa markolo
Ammyr Vristol	Kanalo de Bristol
Pesmad	Pastinako
Impiraght ny Shapaan	Japana Imperio
Slyst Yiass, Israel	Suda distrikto de Israelo
Slyst Veanagh, Israel	Centra distrikto de Israelo
Bolgan (bea-oaylleeaght)	Veziketo
Coontae Aontrym	County Antrim
Vigdís Finnbogadóttir	Vigdís Finnbogadóttir
Aane ushtey	Hepatikoj
Coontae Aberdon	Aberdeenshire
Slyst Hwoaie, Israel	Norda distrikto de Israelo
Flagellum	Flagelo
Shliggagh	Sligo
Carboanaayt sodjum	Natria karbonato
Co-assee	Alelopatio
Çhengoaylleeaght hennaghyssagh	Historio de lingvo
Vicente Fox	Vicente Fox Quesada
Coontae 'er Managh	Fermanagh
Petah Tikva	Petaĥ Tikva
Bootys	Boto
Lus lussagh	Herbo
Billey feeyney	Vito
Króna Faaroagh	Feroa krono
Thunney	Tuno
The Lion King II: Simba's Pride	The Lion King II: Simba's Pride
Taoiseach	Taoiseach
Eaghtyrane ny Frank	Prezidento de la Respubliko (Francio)
Pobblaght Hoveidjagh Hoshiallagh ny Latvey	Latva Soveta Socialisma Respubliko
Slyst Jerusalem	Distrikto Jerusalemo
Arrishaght	Kamuflimito
Far-skeealaght Ghothagh	Gotika literaturo
Colloo Trajan	Trajana Kolono
Ramat Gan	Ramat Gan
Slyst Tel Aviv	Distrikto Tel-Avivo
Carlisle	Carlisle (Kumbrio)
Ivan Shishkin	Ivan Ŝiŝkin
Nomenclature d'unités territoriales statistiques	NUTS
Sandomierz	Sandomierz
Tezuka Osamu	Tezuka Osamu
Ard Maghey	Armagh
Sienna Miller	Sienna Miller
Ardjyn Finnlynn	Provincoj de Finnlando
Slystyn Israel	Distriktoj de Israelo
Far-skeealaght scoaghagh	Hororo
Unnaneys ny h-Affrick Yiass	Unio de Sud-Afriko
Gwengamp	Guingamp
Sestroretsk	Sestroreck
Mynreayrtan	Mikroskopo
Ronney:Coondaeghyn thallooin Wheiggey ny Sileesh Eeaghtyragh	Kategorio:Distriktoj de Malsupra Silezio
Ronney:Coondaeghyn thallooin Wheiggey Lubusz	Kategorio:Distriktoj de Lubuŝio
Ronney:Coondaeghyn thallooin Wheiggey Mazowsze	Kategorio:Distriktoj de Mazovio
Ronney:Coondaeghyn thallooin Wheiggey Podkarpacie	Kategorio:Distriktoj de Antaŭkarpatio
Ronney:Coondaeghyn thallooin Wheiggey Święty Krzyż	Kategorio:Distriktoj de Sanktakrucio
Ronney:Coondaeghyn thallooin Wheiggey Lublin	Kategorio:Distriktoj de Lublinio
Ronney:Coondaeghyn thallooin Wheiggey ny Polynn Beg	Kategorio:Distriktoj de Malgrandopolio
Ronney:Coondaeghyn thallooin Wheiggey Pomorze	Kategorio:Distriktoj de Pomerio (provinco de Pollando)
Ronney:Coondaeghyn thallooin Wheiggey Kujawy-Pomorze	Kategorio:Distriktoj de Kujavio-Pomerio
Fo-eaddagh	Subvesto
Peso Argenteenagh	Argentina peso
Oaylleeaght lioarlann	Libraroscienco
Pobblaght Hoveidjagh Hoshiallagh ny Turkmenistaan	Turkmena Soveta Socialisma Respubliko
Pobblaght Hoveidjagh Hoshiallagh ny Tajikistaan	Taĝika Soveta Socialisma Respubliko
Peso Shilleeagh	Ĉilia peso
Dooarchoo	Lutrenoj
Rishon LeZion	Riŝon-Le-Ciono
Feevey	Fife (Skotlando)
Dinan	Dinan
Shennaghys ny h-oaylleeaght as ny çhaghnoaylleeaght	Historio de scienco
Baarle Albinagh Ultagh	Ulsterskota lingvo
Dollar Soorinamagh	Surinama dolaro
Queiggaghyn Nerin	Provincoj de Irlando
Borðoy	Borðoy
Kastellin	Châteaulin
Enez Eusa	Ouessant
Buada (slyst)	Buada
Kingston, Ontario	Kingston (Ontario)
Georges de La Tour	Georges de La Tour
Slieau Aragats	Aragaco
Doon Jialgan	Dundalk
Parasoa	Senhistuloj
Philosophiae Naturalis Principia Mathematica	Philosophiae Naturalis Principia Mathematica
Lítla Dímun	Lítla Dímun
Catarrhini	Katarinoj
Logh Nay	Neagh
Sir Fynwy	Monmouthshire
Sveinn Björnsson	Sveinn Björnsson
Ellynyn feamagh	Dekoraj artoj
Rolley ny rollageyn s'niessey da'n Chruinney	Listo de la plej proksimaj steloj
Pobblaght ny Polynn (1918-1939)	Dua Pola Respubliko
Agnieszka Radwańska	Agnieszka Radwańska
P. G. Wodehouse	P. G. Wodehouse
Ivan Kramskoi	Ivan Kramskoj
Elisabeth Shue	Elisabeth Shue
Pen Sans	Penzance
Karaez-Plougêr	Carhaix-Plouguer
Corockle meill-eeacklagh	Labial-dentalo
Saint-Omer	Saint-Omer (Pas-de-Calais)
Logh Garman	Wexford
Ingólfr Arnarson	Ingólfur Arnarson
Mooir Vretyn	Kanalo de Sankta Georgo
Niqāb	Nikabo
Fwee (grammeydys)	Gramatika voĉo
Creeaghyn ny h-Albey	Skotaj Limoj
Sulfaayt sodjum	Natria sulfato
Coontae Rinn Friù Hiar	East Renfrewshire
Yn Laplann, y Toolynn	Lappland, Svedio
Pleneg-Nantraezh	Pléneuf-Val-André
Eaddagh-snaue	Bankostumo
Sir Benfro	Pembrokeshire
Baie Gdańsk	Golfo de Gdansko
Caslys-skeeal eddyr-voggyl	Retkomikso
Mykines, Ellanyn ny Geyrragh	Mykines
James Connolly	James Connolly
Ankiniz	Ancenis
Eaghtyrane Nerin	Prezidanto de Irlando
Grímsey	Grímsey
Immanaght	Iomano
Bronn	Broons
Emilie de Ravin	Emilie de Ravin
Reeriaght Nerin	Reĝlando Irlando
Marçhan	Komercisto
Fianna Fáil	Soldatoj de Irlando
Ivinieg	Yvignac-la-Tour
Bruz	Bruz
Ceredigion	Ceredigion
Landnámabók	Landnámabók
Ásgeir Ásgeirsson	Ásgeir Ásgeirsson
Rolley Eaghtyraneyn ny Latvey	Prezidanto de Latvio
Kraozon	Crozon
Oarlagh	Colo
Ny h-ellynyn ooasle	Belartoj
Coonseil Hreishteilaght ny h-Ashoonyn Unnaneysit	Konsilio de Kuratorado de la Unuiĝintaj Nacioj
Coontae Puck	Distrikto Pucki
Ar Faou	Le Faou
Emilio Estevez	Emilio Estevez
Blaa ny feoghaig	Vinko
Ramla	Ramlo
Breeçhyn cuttagh	Ŝorto
Nunarput utoqqarsuanngoravit	Nunarput utoqqarsuanngoravit
Corockle lhiattagh	Lateralo
Hilion	Hillion
Pontekroaz	Pont-Croix
Taden	Taden
Sant-Denwal	Saint-Denoual
Pont-'n-Abad	Pont-l'Abbé
Saozon-Sevigneg	Cesson-Sévigné
Wu Cheng'en	Wú Chéngēn
Reeriaght ny h-Albey	Reĝlando Skotlando
Ashoonaght	Nacieco
Corockle cleaoil	Palatalo
Gansee	Pulovero
Meeiley cherrinagh	Kvadrata mejlo
Mayrnt 2009	Marto de 2009
Corockle sluggidagh	Glotalo
Averil 2009	Aprilo de 2009
Mean Souree 2009	Junio de 2009
Ashoonyn Celtiagh	Keltaj nacioj
Boaldyn 2009	Majo de 2009
Clara Morgane	Clara Morgane
Kelly Preston	Kelly Preston
Ceboidea	Platirinoj
Edith Mary Pargeter	Edith Pargeter
Jerrey Geuree 2009	Januaro de 2009
Douglas Hyde	Dúbhglás de hÍde
Perroz-Gireg	Perros-Guirec
Aiwo (slyst)	Aiwo
Nólsoy (balley)	Nólsoy
Douarnenez	Douarnenez
Lambal	Lamballe
Emilianish-Romagnolish	Emilia-romanja lingvo
Rosko	Roscoff
Fine Gael	Fine Gael
Trongisvágur	Trongisvágur
Oie Houney	Halloween
Corockle farangagh	Faringalo
Rolley çheeraghyn as thallooyn foddey ersooyl rere eaghtyr	Listo de landoj laŭ areo
Corockle cooyl-chroymmit	Retroflekso
Yn Euar	Newry
Punt Yernagh	Irlanda pundo
Algaghyn glassey	Verda algo
Enez Vriad	Île-de-Bréhat
Ben shee	Banŝio (estaĵo)
Patrick Pearse	Pádraig Mac Piarais/Patrick Pearse
Monkontour	Moncontour (Côtes-d'Armor)
Ewa (slyst)	Ewa
Alineg	Allineuc
Pińczów	Pińczów
Oashyryn bouinagh	Kalsonŝtrumpoj
Joseph Mary Plunkett	Joseph Mary Plunkett
Sur-ream	Lingvotavolo
Meechredjuagh	Agnostikismo
Marjorie Estiano	Marjorie Estiano
Lolo Ferrari	Lolo Ferrari
Kristján Eldjárn	Kristján Eldjárn
Saki	Saki
Noo Niglus (persoonid Nollick)	Kristnaska Viro
Mozarabish	Mozaraba lingvo
Pobblaght ny Taiwaan (1895)	Respubliko de Tajvano (1895)
Çhengey ashoonagh	Nacia lingvo
Ennalaghey (sheeanaghtys)	Aspiracio
Abbyrlhit Coptagh	Kopta alfabeto
Baare jiarg-buigh	Aŭroro-papilio
Meneng (slyst)	Meneng
Baiti (slyst)	Baiti
Anibare (slyst)	Anibare
Anabar (slyst)	Anabar
Ijuw (slyst)	Ijuw
Uusimaa Hiar	Orienta Uusimaa
Lanyugon	Jugon-les-Lacs
Gwerliskin	Guerlesquin
Billey kenney	Okcidenta arbuto
Boalsert	Bolsward
Landivizio	Landivisiau
Bee conning	Ordinara sonko
Jóannes Eidesgaard	Jóannes Eidesgaard
Rheynn (bea-oaylleeaght)	Divizio
Þingvallavatn	Þingvallavatn
Abugida	Abugido
Þórisvatn	Þórisvatn
Clou iddaalagh	Kursivo
Begerel	Bécherel
Agglish Ashoonagh Ellanyn ny Geyrragh	Eklezio feroa
Nibok (slyst)	Nibok
Anetan (slyst)	Anetan
Boe (slyst)	Boe
Cearbhall Ó Dálaigh	Cearbhall Ó Dálaigh
Pleudehen	Pleudihen-sur-Rance
Świecie	Świecie
Aittin	Ulekso
Michael J. Fox	Michael J. Fox
Çhengey chadjinit	Norma lingvo
Creg Ealish	Ailsa Craig
Oar	OAR
Nieu-nearag	Neŭrotoksino
Straih veanagh	Subarbaraĵo
Caernarfon	Caernarfon
Nasair	Nazareto
Jeeghyn Egyptagh	Religio de Antikva Egiptio
Ronney:Shennaghys rere bun-chooish	Kategorio:Historio laŭ temoj
Kastell-Bourc'h	Châteaubourg (Ille-et-Vilaine)
Lanvalae	Lanvallay
Ollooscoill Ghurham	Universitato de Durham
Poagey laue	Mansako
Abbyrlhit Gothagh	Gota alfabeto
Poncho	Ponĉo
Uaboe (slyst)	Uaboe
Amoebosoa	Amoebozoa
Tczew	Tczew
Anemoi	Anemoj
Páirc an Chrócaigh	Croke Park/Páirc an Chrócaigh
Purt Aer Tan Son Nhat	Flughaveno Tan Son Nhat
Caslys	Bildo
Phenomenon	Fenomeno
Yakub Kolas	Jakub Kolas
Elijah Wood	Elijah Wood
Fer sniaghtee	Neĝhomo
Pobblaght Hoveidjagh Hoshiallagh ny h-Oosbeckistaan	Uzbeka Soveta Socialisma Respubliko
Caayr Kansas, Kansas	Kansasurbo (Kansaso)
Çhionnal Ashoonagh Vretin	Nacia Asembleo por Kimrio
Rolley çhengaghyn	Listo de lingvoj
Taabyl	Tabelo
Nitassinan	Inuoj
Boayl enmyssit da coontaghyn-pobble	Censa loko
Diepholz	Diepholz
Overland Park, Kansas	Overland Park
Starogard Gdański	Starogard Gdański
Chris Pratt	Chris Pratt
Arrane Ashoonagh ny Salvador	Himno Nacional de El Salvador
Ngerulmud	Ngerulmudo
Onnane (lus)	Kardo
Erieg	Éréac
Claddan sniaghtee	Floko
Czarna Woda	Czarna Woda
Ronney:Far-inçhynaght	Kategorio:Artefarita inteligenteco
William Cameron Townsend	William Cameron Townsend
Máirtín Ó Cadhain	Máirtín Ó Cadhain
Kronberg im Taunus	Kronberg im Taunus
Shavei Tzion	Ŝave Cion
Coontae Chojnice	Distrikto Chojnicki
Cammee	Kamizolo
Hvalvík	Hvalvík
Fontanka	Fontanka
Scannaneaght	Kino
Coontae Tuchola	Distrikto Tuchola
Reeriaght ny h-Ungaar (1920-1946)	Hungara reĝlando (1920-1946)
Dellal	Komerco
Coontae Malbork	Distrikto Malborski
Vestmanna	Vestmanna
Keeill Airney	Cill Airne
Cooyl-screeudeyr	Fantoma verkisto
Corockle scoarnagh	Uvularo
Arenal (volcaan)	Vulkano Arenal
Torfaen	Torfaen
Dáil Éireann	Dáil Éireann
Corockle crank	Frapeto
Cowrag	Reta etikedo
Magh	Muff
Breck ny keylley	Pararge aegeria
Hvalba	Hvalba
Hoyvík	Hoyvík
Gaoth Dobhair	Gaoth Dobhair
Frankfurt/Rhein-Main	Regiono Rejno-Majno
Kilomeadar kerrinagh	Kvadrata kilometro
Rolley çheeraghyn rere earroo yn phobble	Listo de landoj laŭ loĝantaro
Organe (ronsaghey-kirpey)	Organo
Clade	Klado
Yn Ghermaan Heear	Okcidenta Germanio
ISO 639-1	ISO 639-1
Mandarin Chadjinit	Norma ĉina lingvo
Uzel	Uzel
Trójmiasto	Trójmiasto
Rolley baljyn ayns Ellanyn ny Geyrragh	Listo de urboj kaj vilaĝoj de Ferooj
Cheder	Ĥedero
Cabbash phalm	Palmomedolo
Castell-nedd Port Talbot	Neath Port Talbot
Tvøroyri	Tvøroyri
Donnag faiyr	Oksokululo
Manhua	Manhua
Lapsana communis	Lapsano
Lheiney polo	Poloa ĉemizo
Pobblaght Hene-reiltagh ny Crimeea	Aŭtonoma Respubliko Krimeo
Pengilli	Penguily
Coontae Świecie	Distrikto Świecie
Kastellaodren	Châtelaudren
Cosney stiagh glare	Akirado de lingvaĵo
Jees sloo	Minimuma paro
Happy Feet Two	Happy Feet 2
Slattys	Leĝo (juro)
Bolgan glare	Parola veziko
Tinvaal	Tynwald
Abejar	Abejar
Alfey	Alfo (botaniko)
Yn Partee Glass (Nerin)	Verda Partio (Irlando)
Rolley ellanyn ayns Ellanyn ny Geyrragh	Listo de insuloj de Ferooj
Oskaleg	Aucaleuc
Naghtyreen	Nektarino
Oaylleeaght ny slaynt	Sanscienco
Pictish	Pikta lingvo
Çhengey ergatagh-jeeragh	Ergativa lingvo
Bro Gozh ma Zadoù	Bro gozh ma zadoù
Plangoed	Plancoët
Plouvalae	Ploubalay
Sant-Postan	Saint-Pôtan
Erge-ar-Mor	Erquy
Laue-cheird	Metio
Ratçhal	Vetkuro
Çhengoaylleeaght hoylee	Kompara lingvoscienco
Çhengag	Ligulo
Wayuu (çhengey)	Vajua lingvo
Corockle far-ghlottyssagh	Epiglotalo
Brest	Brest
Bun an Phobail	Moville
Hudag	Svetero
Bro Goth agan Tasow	Bro Goth Agan Tasow
Yn Dein	An Daingean
Kvívík	Kvívík
Once Upon a Forest	Once Upon a Forest
Coontae Kartuzy	Distrikto Kartuzy
Lipník, Slyst Prievidza	Lipník (distrikto Prievidza)
Coontae Nowy Dwór Gdański	Distrikto Nowodworski (Pomorski)
William Ramsay	William Ramsay
Conamara	Connemara
Skórcz	Skórcz
Ellan çhengey	Lingvoinsulo
An Feabhal	Foyle
Jeneeve	Ĝino (brando)
Mareeish	Maria lingvo
Poynt broie	Bolpunkto
Mannishter 'er Maigh	Fermoy
Skarszewy	Skarszewy (regiono Pomorskie)
Egineg	Acigné
Yn Chaladoan	Kaledonio
Cullee choonee fassan	Akcesoraĵo
Cooishyn theayagh	Publikaferoj
Norðskáli	Norðskáli
Coontae Człuchów	Distrikto Człuchowski
Yn-lhoamey	Falfolia planto
Bro-Gerne	Kernevo
Coontae Bytów	Distrikto Bytowski
Coontae Słupsk	Distrikto Słupski
Coontae Wejherowo	Distrikto Wejherowo
Coontae Lębork	Distrikto Lęborski
Coontae Kościerzyna	Distrikto Kościerski
Thorran	Sambakio
Coontae Gdańsk	Distrikto Gdański
Denigomodu (slyst)	Denigomodu
Rolley bunstooghyn rere ennym	Listo de kemiaj elementoj laŭ nomo
Steatyn ny Germaan	Federacia lando (Germanio)
Bascagh (eaddeeyn)	Basko
Coontae Tczew	Distrikto Tczewski
Coontae Sztum	Distrikto Sztumski
Coontae Starogard	Distrikto Starogardzki
Coontae Kwidzyn	Distrikto Kwidzyn
Fo-arctagh	Ĉearkto
Lagarfljót	Lagarfljót
Cooitinagh	Kutiklo
Ronney:Yn Ghermaan	Kategorio:Germanio
Ronney:Yn Iddaal	Kategorio:Italio
Ronney:Ny Steatyn Unnaneysit	Kategorio:Usono
Ronney:Yn Roosh	Kategorio:Rusio
Ronney:Yn Chanadey	Kategorio:Kanado
Ronney:Reeriaght Unnaneysit	Kategorio:Unuiĝinta Reĝlando
Ronney:Yn Spaainey	Kategorio:Hispanio
Ronney:Yn Çheen	Kategorio:Ĉinio
Ronney:Yn Çhapaan	Kategorio:Japanio
Ronney:Yn Austrail	Kategorio:Aŭstralio
Ronney:Meksico	Kategorio:Meksiko
Ronney:Yn Injey	Kategorio:Barato
Ronney:Yn Araab Saudi	Kategorio:Sauda Arabio
Ronney:Israel	Kategorio:Israelo
Ronney:Ard-valley yn Phaab	Kategorio:Vatikano
Ronney:Yn Turkee	Kategorio:Turkio
Ronney:Yn Affrick Yiass	Kategorio:Sud-Afriko
Ronney:Yn Egypt	Kategorio:Egiptio
Ronney:Yn Eeraan	Kategorio:Irano
Ronney:Yn Teelynn Noa	Kategorio:Nov-Zelando
Ronney:Yn Argenteen	Kategorio:Argentino
Laa seyr	Festaj kaj feriaj tagoj
Ronney:Yn Afghanistaan	Kategorio:Afganio
Ronney:Yn Algear	Kategorio:Alĝerio
Ronney:Yn Austeyr	Kategorio:Aŭstrio
Ronney:Yn Vangladesh	Kategorio:Bangladeŝo
Ronney:Pobblaght Gheynlagh ny Congo	Kategorio:Demokratia Respubliko Kongo
Ronney:Yn Choobey	Kategorio:Kubo
Ronney:Yn Eetoip	Kategorio:Etiopio
Ronney:Yn Indoneesh	Kategorio:Indonezio
Ronney:Yn Earack	Kategorio:Irako
Ronney:Yn Çheer Injil	Kategorio:Nederlando
Ronney:Yn Naigeer	Kategorio:Niĝerio
Ronney:Yn Phakistaan	Kategorio:Pakistano
Ronney:Yn Pholynn	Kategorio:Pollando
Ronney:Yn Phortiugal	Kategorio:Portugalio
Ronney:Singapore	Kategorio:Singapuro
Ronney:Yn Chorea Yiass	Kategorio:Sud-Koreio
Ronney:Yn Toodaan	Kategorio:Sudano
Ronney:Yn Elveeish	Kategorio:Svislando
Ronney:Yn Çheer Thai	Kategorio:Tajlando
Ronney:Yn Ookraan	Kategorio:Ukrainio
Ronney:Yn Vietnam	Kategorio:Vjetnamio
Ronney:Sheeintee	Kategorio:Mamuloj
Ronney:Vertebrata	Kategorio:Reptilioj
Ronney:Daa-veaghee	Kategorio:Amfibioj
Ronney:Ushagyn	Kategorio:Birdoj
Ronney:Fungyssyn	Kategorio:Fungoj
Ronney:Bacteyryn	Kategorio:Bakterioj
Ronney:Veeryssyn	Kategorio:Virusoj
Ronney:Lossreeyn	Kategorio:Plantoj
Ronney:Pteridophyta	Kategorio:Filikoj
Ronney:Fishig	Kategorio:Fiziko
