An Afraic	Afriko
Luasghéarú de bharr domhantarraingthe	Gravita akcelo
801	801
807	807
806	806
152	152
Caisearbhán	Taraksako
240	240
218	218
655	655
496	496
238	238
197	197
451	451
775	775
489	489
784	784
661	661
625	625
653	653
904	904
921	921
923	923
Jíp	Ĵipo
1126	1126
668	668
636	636
408	408
464	464
Ronnach	Skombro
410	410
956	956
952	952
658	658
Smugairle róin	Meduzo
650	650
518	518
70	70
81	81
Meánam Greenwich	GMT
Liopard sneachta	Neĝleopardo
Corcach	Aluvia grundo
69	69
87	87
65	65
66	66
67	67
55	55
34	34
Vicipéid na Sínise	Ĉinlingva Vikipedio
44	44
35	35
64	64
504	504
Eite-chosach	Fokuloj
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
Ecser	Ecser
978	978
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
Uachtarán	Prezidanto
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Míchail Gorbaitsov	Miĥail Gorbaĉov
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
Sluaghairm	Slogano
780	780
675	675
689	689
774	774
759	759
Fabhcún gorm	Migra falko
758	758
350	350
Máthair Treasa	Patrino Teresa
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
648	648
686	686
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
Auguste Rodin	Auguste Rodin
Ana Ivanović	Ana Ivanović
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
Caracal	Karakalo (besto)
Blag	Blogo
225	225
311	311
220	220
Núicleólas	Nukleolo
541	541
642	642
Oscar Wilde	Oscar Wilde
313	313
180	180
794	794
587	587
530	530
609	609
497	497
540	540
428	428
Soprán	Soprano
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
Deinge	Dengo
291	291
48	48
97	97
56	56
93	93
Alofi	Alofo
57	57
Jamestown (San Héilin)	Ĵamestaŭno
Polainéis na Fraince	Franca Polinezio
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
508	508
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
Oileán Norfolk	Norfolkinsulo
630	630
Oileán na Nollag	Kristnaskinsulo
614	614
505	505
446	446
791	791
557	557
Áireamhán	Kalkulilo
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
Seisniagh	Ĉeĉenoj
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
Pearóid	Papagoformaj
521	521
92	92
Cocatú	Kakatuedoj
597	597
329	329
Kraków	Krakovo
133	133
413	413
258	258
Gob	Beko
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
Saorstát Éireann	Irlanda Libera Ŝtato
191	191
450	450
Gabhlán earrspíonach	Pintvosta apuso
612	612
635	635
611	611
Réileán láibe	Vado
Cancróid	Ŝankroido
534	534
488	488
Cam-mhuin	Koltordulo
607	607
524	524
282	282
472	472
471	471
Muire Mháthair Guadalupe	Nia Damo de Gvadalupo
490	490
316	316
Cath Mharatóin	Batalo de Maratono
797	797
511	511
295	295
Impireacht na gCairlínseach	Karolida Imperio
598	598
An Araib	Arabio
303	303
Naomh Marcas Soiscéalaí	Sankta Marko la evangeliisto
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
284	284
An tIllír	Ilirio
283	283
Pahlavi	Mezpersa lingvo
241	241
243	243
262	262
498	498
Fadlíne	Meridiano
336	336
334	334
266	266
Dornálaíocht	Boksado
261	261
470	470
349	349
271	271
275	275
292	292
296	296
345	345
431	431
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
Carachtar (ríomhaireacht)	Karaktro
Scian	Tranĉilo
288	288
Searlas V, Impire Naofa Rómhánach	Karlo la 5-a (Sankta Romia Imperio)
278	278
455	455
Ríoga Buirg an Kingston ar Tamais	Royal Borough of Kingston upon Thames
577	577
Comhartha focalbhá	Tripunkto
Jennifer Aniston	Jennifer Aniston
575	575
482	482
486	486
580	580
567	567
564	564
561	561
Tomagrafaíocht ríomhairithe X-ghathach	Komputila tomografio
328	328
325	325
317	317
574	574
566	566
249	249
348	348
Ainmneacha fearainn	Domajna nomo
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
590	590
269	269
An Veinéisis	Venecia lingvo
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Vladimír Špidla	Vladimír Špidla
Broinceachtáis	Bronkektazio
Séabra	Zebro
276	276
Mosc	Moskeo
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
214	214
213	213
212	212
228	228
227	227
149	149
174	174
Dungáinis	Dungana lingvo
189	189
Leabharuimhir Chaighdeánach Idirnáisiúnta	ISBN
199	199
141	141
132	132
125	125
123	123
147	147
Cogadh na Seacht mBliana	Sepjara milito
144	144
198	198
178	178
177	177
Suth	Embrio
187	187
Modhachas	Metodistoj
195	195
186	186
Paiteolaíocht urlabhra	Logopedio
347	347
620	620
624	624
605	605
629	629
Osalat	Oceloto
616	616
615	615
644	644
646	646
633	633
Fásteanga	Kreola lingvo
637	637
436	436
434	434
293	293
427	427
185	185
An tSuvaisis	Ĉuvaŝa lingvo
321	321
Paradacsa Zeno	Paradokso de Akilo
327	327
Canúint	Dialekto
430	430
Leon Trotscaí	Lev Trockij
Teangacha Algóinciacha	Algonkena lingvaro
447	447
569	569
568	568
444	444
Aontas Idirnáisiúnta na Glancheimice agus na Ceimice Feidhmí	IUPAK
796	796
Fuláinis	Fula lingvo
Easpónant	Potenco (matematiko)
798	798
Cardamam	Kardamomo
793	793
Ferdinand Victor Eugène Delacroix	Eugène Delacroix
685	685
Hartford, Connecticut	Hartford (Konektikuto)
Hómafóibe	Homofobio
799	799
683	683
Músaem	Muzeo
274	274
Aibítir Eabhraise	Hebrea alfabeto
Matamaitic fheidhmeach	Aplika matematiko
579	579
Stucó	Stuko
Teangacha Iaránacha	Irana lingvaro
281	281
Siricis	Siria lingvo
306	306
438	438
An Iáivis	Java lingvo
Friedrich II na Prúise	Frederiko la 2-a (Prusio)
297	297
An Chairéilis	Karela lingvo
421	421
298	298
An Haváis	Havaja lingvo
351	351
352	352
An Chiocúis	Kikuja lingvo
355	355
Ollphanda	Granda pando
Béar bán	Blanka urso
Teangacha Khoisan	Kojsanaj lingvaroj
95	95
Hiri Motu	Hirimotua lingvo
94	94
594	594
542	542
448	448
445	445
305	305
234	234
565	565
381	381
Raidian	Radiano
385	385
553	553
307	307
584	584
346	346
257	257
An Mháigeanis	Majaa lingvaro
Tintreach	Fulmo
285	285
Cogadh na Peilipinéise	Peloponeza milito
591	591
An Lombairdis	Lombarda lingvo
289	289
Bertrand Russell	Bertrand Russell
An tEarrach Arabach	Araba printempo
Lámh	Mano
563	563
252	252
Edmund Hillary	Edmund Hillary
An Neipeailis	Nepala lingvo
Daonra	Loĝantaro
Nasctheanga	Piĝino
595	595
Teangacha Abkhaz-Adyghe	Abĥaz-adigea lingvaro
246	246
An Phaipeamaintis	Papiamento
Theodore Roosevelt	Theodore Roosevelt
Óisibis	Aniŝinabeka lingvo
596	596
Tour de France	Tour de France
593	593
357	357
573	573
Naomh Peadar	Sankta Petro
Tel Aviv	Tel-Avivo
Nice	Nico
Oiséitis	Oseta lingvo
Duilleog	Folio
An tSicilis	Sicilia lingvo
An tSairdínis	Sarda lingvo
Jules Verne	Jules Verne
Robert Delaunay	Robert Delaunay
Nepal Bhasa	Nevara lingvo
Valparaíso, an tSile	Valparaiso
Aisteoir	Aktoro
Teangacha Samódacha	Samojeda lingvaro
Hollywood	Holivudo
Caisiú	Akaĵuo
Marlon Brando	Marlon Brando
Georges-Pierre Seurat	Georges Seurat
Niue	Niuo
Eas	Akvofalo
559	559
Teangacha Seimíteacha	Semida lingvaro
599	599
326	326
An Tagálaigis	Tagaloga lingvo
341	341
322	322
Giúdaigh Aisceanazaíocha	Aŝkenazo
Nathalia Dill	Nathalia Dill
Justin Bieber	Justin Bieber
Teangacha Tuircice	Tjurka lingvaro
Cré-umha	Bronzo
Hosni Mubarak	Hosni Mubarak
Fargo, Dakota Thuaidh	Fargo (Norda Dakoto)
Oaxaca	Oaxaca
Teangacha Úralacha	Urala lingvaro
386	386
An Túvais	Tuva lingvo
374	374
380	380
Tok Pisin	Tokpisino
Im	Butero
Henry Fielding	Henry Fielding
Iasar Arafat	Jaser Arafat
Oxford	Oksfordo
An Vallúinis	Valona lingvo
Eas Niagara	Niagara Akvofalaro
Teanga chomharthaíochta	Signolingvo
Teangacha Tungúsacha	Tungus-manĉura lingvaro
136	136
Linus Torvalds	Linus Torvalds
An Volaifis	Volofa lingvo
Port-au-Prince	Portoprinco
Impireacht na Rúise	Rusia Imperio
Międzyrzec Podlaski	Międzyrzec Podlaski
Soiscéal	Evangelio
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
Doctor Who	Doctor Who
An Tasmáin	Tasmanio
Rotterdam	Roterdamo
Uirlis cheoil	Muzika instrumento
Eala	Cigno
Whitney Houston	Whitney Houston
Gallúnach	Sapo
New Orleans	Nov-Orleano
Mošovce	Mošovce
Benazir Bhutto	Benazir Bhutto
Pilib II na Spáinne	Filipo la 2-a (Hispanio)
Shakira	Shakira
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Ollscoil Oxford	Universitato de Oksfordo
Scarlett Johansson	Scarlett Johansson
Bóthar	Vojo
Mahmoud Ahmadinejad	Mahmud Ahmadineĵad
Boris Yeltsin	Boris Jelcin
Gwyneth Paltrow	Gwyneth Paltrow
Pilib III na Spáinne	Filipo la 3-a (Hispanio)
Dlúthdhiosca	Kompakta disko
Aleksandr Solzhenitsyn	Aleksandr Solĵenicin
Hirohito	Hirohito
Ingearán	Helikoptero
Gluaisrothar	Motorciklo
San Héilin	Sankta Heleno
Dobhareach	Amfibia hipopotamo
Físeán	Video
382	382
342	342
373	373
372	372
An Mhuir Aeigéach	Egea Maro
Ichiro Mizuki	Mizuki Ichirō
James A. Garfield	James A. Garfield
Kyoto	Kioto
Saint-Pierre-et-Miquelon	Sankta-Piero kaj Mikelono
Art Nouveau	Secesio (stilo)
Muir nIocht	Manika Markolo
1980idí	1980-aj jaroj
Johannesburg	Johanesburgo
1990idí	1990-aj jaroj
J. K. Rowling	J. K. Rowling
Hiroshima	Hiroŝimo
Gaineamh	Sablo
Rós	Rozo
Kingston, Jamaica	Kingstono
Liopard	Leopardo
Salzburg	Salzburg
Srónbheannach	Rinoceredoj
Miotaseolaíocht na Gréige	Helena mitologio
Compás	Kompaso
Dayton, Ohio	Dayton (Ohio)
Géineas	Genro (biologio)
Rudyard Kipling	Rudyard Kipling
Eolaíocht shóisialta	Socia scienco
Críoch Shomáile	Somalilando
Leithinis	Duoninsulo
Liosta glaochód idirnáisiúnta	Telefona landokodo
X-ghathanna	Ikso-radioj
Friedrich Engels	Friedrich Engels
Xinjiang	Ŝinĝjango
Santo Domingo	Sankta Domingo
Ulysses S. Grant	Ulysses S. Grant
Elizabeth Taylor	Elizabeth Taylor
Cathair Oklahoma, Oklahoma	Oklahomaurbo (Oklahomo)
375	375
Brisbane	Brisbano
Tolamaes	Ptolemeo
Vitimín	Vitamino
Benjamin Franklin	Benjamin Franklin
D. H. Lawrence	D. H. Lawrence
Isaac Asimov	Isaac Asimov
An Torah	Leĝo de Moseo
Muir Mheoid	Azova Maro
1970idí	1970-aj jaroj
2000idí	2000-aj jaroj
William McKinley	William McKinley
Cabáiste	Blanka brasiko
Oifig an phoist	Poŝtejo
Agatha Christie	Agatha Christie
Uachtarán na Stát Aontaithe	Listo de prezidantoj de Usono
Eascann mhuraenach	Mureno
Seanfhocal	Proverbo
Láithreán Gréasáin	TTT-ejo
Catalão	Catalão (Gojaso)
Wilhelm Conrad Röntgen	Wilhelm Conrad Röntgen
Thomas Pynchon	Thomas Pynchon
An Odaisé	Odiseado
Grover Cleveland	Grover Cleveland
Scáthán	Spegulo
Ido	Ido (lingvo)
Satan	Satano
Herbert C. Hoover	Herbert C. Hoover
Sanasaíocht	Etimologio
Cúgar	Pumo
44 RC	-44
Warren G. Harding	Warren G. Harding
387	387
An tSean-Ghaeilge	Malnovirlanda lingvo
Nikita Khrushchev	Nikita Ĥruŝĉov
Arabaigh	Araboj
Brad Pitt	Brad Pitt
Loch Titicaca	Lago Titikako
Muir Mharmara	Marmora Maro
Fine (bitheolaíocht)	Familio (biologio)
Fuinneog	Fenestro
Almaty	Almato
242 RC	-242
An tSean-Ghréigis	Antikva greka lingvo
Chester A. Arthur	Chester A. Arthur
248 RC	-248
Pluais	Kaverno
258 RC	-258
257 RC	-257
253 RC	-253
Teach Bán	Blanka Domo (Vaŝingtono)
246 RC	-246
245 RC	-245
249 RC	-249
252 RC	-252
Paul Cézanne	Paul Cézanne
Vailís agus Futúna	Valiso kaj Futuno
240 RC	-240
254 RC	-254
Tataraigh	Tataroj
256 RC	-256
UEFA	UEFA
251 RC	-251
Hokkaido	Hokajdo
250 RC	-250
244 RC	-244
243 RC	-243
Sléibhte na hÚraile	Uralo
255 RC	-255
Arthur Conan Doyle	Arthur Conan Doyle
Sinséar	Zingibro
Duais Nobel na Síochána	Nobel-premio pri paco
Pennines	Peninoj
William H. Taft	William H. Taft
Stáit Mheiriceá	Usona ŝtato
Oighearshruth	Glaĉero
An Hitis	Hitita lingvo
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford B. Hayes
Uimhirlíne	Nombra akso
Iaguar	Jaguaro
1930idí	1930-aj jaroj
An Astráil Theas	Suda Aŭstralio
1960idí	1960-aj jaroj
1920idí	1920-aj jaroj
Parlaimint	Parlamento
Damhna	Materio
Ósaca	Osako
247 RC	-247
Boise, Idaho	Boise (Idaho)
Bayda	Al Bajda
Ollscoil Cambridge	Universitato de Kembriĝo
Sorastar	Zaratuŝtro
259 RC	-259
Deartháireacha Wright	Fratoj Wright
Codladh	Dormo
Heicteár	Hektaro
Boilsciú	Inflacio
Asma	Astmo
Bád	Boato
An Ghuaráinis	Gvarania lingvo
Muir Aral	Aralo
Lamborghini	Lamborghini
Emmy Rossum	Emmy Rossum
Bambú	Bambuo
Sport Club Corinthians Paulista	Corinthians
An Interlingua	Interlingvao
An Bhosparais	Bosporo
Na Ceiltigh	Keltoj
Ho Chi Minh	Ho Chi Minh
Calvin Coolidge	Calvin Coolidge
Saileach	Saliko
Piostáis	Pistakujo
Queensland	Kvinslando
Minneapolis, Minnesota	Minneapolis
Cóála	Koalo
Charles Bronson	Charles Bronson
Muhammad Ali	Muhammad Ali
Ithir	Grundo
Liopard marmarach	Nebula neofeliso
Beyoncé Knowles	Beyoncé Knowles
An Choptais	Egipta-kopta lingvo
Tacar	Aro (matematiko)
Bridgetown	Briĝurbo
Bram Stoker	Bram Stoker
Béaloideas	Folkloro
Siligo	Siligo
Laidinis	Ladina lingvo
Puerto Montt, an tSile	Puerto Montt
Václav Havel	Václav Havel
Brigitte Bardot	Brigitte Bardot
Beathaisnéis	Biografio
Bóthar an tSíoda	Silka Vojo
1950idí	1950-aj jaroj
Tailéas	Taleso de Mileto
Calgary	Kalgario
Jane Austen	Jane Austen
Béar donn	Bruna urso
Taibhreamh	Sonĝo
Fribourg	Friburgo
Cumann Íosa	Jezuitoj
Meán-Bhéarla	Meza angla lingvo
Francach (ainmhí)	Rato
Obar Dheathain	Aberdeen
Neoiliteach	Neolitiko
Porto	Porto
Eolaíocht pholaitiúil	Politika scienco
Caitríona II na Rúise	Katerina la 2-a (Rusio)
An Mhaorais	Maoria lingvo
Plúr	Faruno
The Lion King	The Lion King
Guglielmo Marconi	Guglielmo Marconi
Ian	Jono
Francis Drake	Francis Drake
Port Moresby	Port-Moresbo
Imoibriú ceimiceach	Kemia reakcio
Oigheann	Forno
1940idí	1940-aj jaroj
1900í	1900-aj jaroj
1910idí	1910-aj jaroj
An Háig	Hago
Goraille	Gorilo
Tycho Brahe	Tycho Brahe
Ainmníocht dhéthéarmach	Dunoma nomsistemo
Corcaigh	Cork
Dearcealaíona	Vidaj artoj
Henrik Ibsen	Henrik Ibsen
Am samhraidh	Somera tempo
Victoria (An Astráil)	Viktorio (Aŭstralio)
Zhuang (dream eitneach)	Ĝŭangoj
An Iúgslaiv	Jugoslavio
Nórnais	Norna lingvo
Mamat	Mamuto
An Pháilis	Palia lingvo
Ríocht (bitheolaíocht)	Regno (biologio)
Aung San Suu Kyi	Aung San Suu Kyi
An Pholáibis	Polaba lingvo
Nganasainis	Nganasana lingvo
Na Meiriceánaigh Dhúchasacha	Indianoj
Leithinis Síonáí	Sinajo
Kristallnacht	Kristala nokto
Soiscéal Eoin	Evangelio laŭ Johano
Robert Pattinson	Robert Pattinson
Réigiúin na Fraince	Regionoj de Francio
Doras	Pordo
William, prionsa na Breataine Bige	William Mountbatten-Windsor
Rihanna	Rihanna
Fliú na muc (galar)	Porka gripo
Ionga	Ungo
Sléibhteoireacht	Montogrimpado
Ózón	Ozono
Salvador	Salvador de Bahio
Robert De Niro	Robert De Niro
Lobhra	Lepro
Fiach	Ĉasado
Jackie Chan	Jackie Chan
Glif	Signobildo
Volapük	Volapuko
Toshiro Mifune	Mifune Toshiro
Rauma	Raŭmo
Aghaidh	Vizaĝo
An tSeirbia agus Montainéagró	Serbujo kaj Montenegro
Thomas Mann	Thomas Mann
World Wide Web Consortium	Konsorcio de la Tut-Tera Teksaĵo
Tallahassee	Tallahassee (Florido)
Alexander Fleming	Alexander Fleming
Pop-cheol	Pop-muziko
Tairne	Najlo
Tom Cruise	Tom Cruise
Ológ	Olivarbo
Solamh	Salomono
Tríonóid	Sankta Triunuo
Auckland	Auckland
Florence Nightingale	Florence Nightingale
Líne dhíreach	Rekto
331	331
Meatán	Metano
Mariupol	Mariupolo
365	365
13 (uimhir)	13 (nombro)
G8	G8
Núicléas adamhach	Atomkerno
Lana Del Rey	Lana Del Rey
Sun Tzu	Sun Tzu
Abhacád	Avokado
379	379
International Business Machines	IBM
Johnny Depp	Johnny Depp
Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva
Fuilchill dhearg	Eritrocito
Robert Koch	Robert Koch
An tSind	Sindo
Múinteoir	Instruisto
Central Intelligence Agency	CIA
Pápa Eoin Pól I	Johano Paŭlo la 1-a
Corn FIFA an Domhain 2006	Futbala Mondpokalo 2006
An Spiorad Naomh	Sankta Spirito
Cleveland	Klevlando
Samuel Beckett	Samuel Beckett
Lublin	Lublin
John Michael Talbot	John Michael Talbot
Arara	Arara
Cnó talún	Ternukso
Francis Bacon	Francis Bacon
Néipíadá	Nepjido
100 (uimhir)	100 (nombro)
Glúin	Genuo
Aibreog	Abrikotarbo
Nicole Kidman	Nicole Kidman
Ceo	Nebulo
Muir Iónach	Ionia Maro
Spéaclaí	Okulvitro
Rang (bitheolaíocht)	Klaso (biologio)
Glúcós	Glukozo
Réaltfhisic	Astrofiziko
Polagán	Plurlatero
Brocaire teorann	Landlima terhundo
Donatello	Donatello
Jackson Pollock	Jackson Pollock
Eoin Cailvín	Kalvino
Lá Fhéile Vailintín	Sankt-Valentena tago
Liam I Shasana	Vilhelmo la 1-a (Anglio)
Clocha sneachta	Hajlo
David Ben-Gurion	David Ben-Gurion
Luciano Pavarotti	Luciano Pavarotti
Mila Kunis	Mila Kunis
43 RC	-43
Tréimhse shionadach	Orbita periodo
Cogadh na Murascaille	Golfa Milito
Margadh	Merkato
Síoda	Silko
Caimileon	Ĥameleono
Paul Gauguin	Paul Gauguin
Bloemfontein	Bloemfontein
Cóilí teorann	Landlima ŝafhundo
Feodachas	Feŭdismo
Crómasóm	Kromosomo
Cóimhiotal	Alojo
T. S. Eliot	T. S. Eliot
Charlotte's Web (scannán 1973)	Charlotte's Web (filmo, 1973)
Sint-Truiden	Sint-Truiden
Bălți	Bălți
Éiceachóras	Ekologia sistemo
Auckland Grammar School	Auckland Grammar School
Cuisneoir	Fridujo
Milwaukee, Wisconsin	Milvokio
Teangacha Altaecha	Altaja lingvaro
Barócach (ealaín)	Baroko
Cú faoil Rúiseach	Rusa leporhundo
Algaí	Algo
Natalie Portman	Natalie Portman
Caolas	Markolo
Duais Nobel sa Litríocht	Nobel-premio pri literaturo
Fiachú	Skota leporhundo
Stampa poist	Poŝtmarko
Práta Spáinneach	Batato
Masiela Lusha	Masiela Lusha
Sapporo	Sapporo
Gregor Mendel	Johann Gregor Mendel
Akihito	Akihito
63 RC	-63
St. Louis	Sankta Luiso
Consan	Konsonanto
Herta Müller	Herta Müller
An Ghaill	Gaŭlujo
Eiseachas	Ekzistadismo
Lewis Carroll	Lewis Carroll
Paraíba	Paraibo
Ailpíneach	San-Bernarda hundo
Oileáin Ghalápagos	Galapagoj
Leonardo DiCaprio	Leonardo DiCaprio
Foraoiseacht	Arbara mastrumado
Daniel Radcliffe	Daniel Radcliffe
Conradh na Náisiún	Ligo de Nacioj
Samúraí	Samurajo
31 RC	-31
Arthur Schopenhauer	Arthur Schopenhauer
George Lucas	George Lucas
Nagasaki	Nagasako
Eintracht Frankfurt	Eintracht Frankfurt
Enya	Enya
Éire agus an Bhreatain Mhór	Britaj Insuloj
Aoire Gearmánach	Germana ŝafhundo
Yokohama	Jokohamo
1840í	1840-aj jaroj
Fíleam	Filumo
Anraí VIII Shasana	Henriko la 8-a (Anglio)
Uathachas	Aŭtismo
Romano Prodi	Romano Prodi
Bocsaeir	Boksero (hundo)
Xena: Warrior Princess	Xena
Túrcú	Turku
Santa Fe, Nua-Mheicsiceo	Santa Fe (Nov-Meksiko)
Cú	Angla leporhundo
Diongó	Dingo
Mealbhacán uisce	Akvomelono
Cú Faoil	Irlanda lupohundo
1880í	1880-aj jaroj
Comandóir	Komondoro
Aimseadóir buí	Orkolora reporthundo
Cócaireacht	Kuirado
Smutmhadra	Mopso
Muileann gaoithe	Ventmuelejo
Labradór	Labradora ĉashundo
Helena, Montana	Helena (Montano)
Bertolt Brecht	Bertolt Brecht
Scála Richter	Skalo de Richter
Gadhar fiaigh	Ĉashundoj
Madra treorach	Gvidhundo
Miotal trom (ceol)	Metalroko
Púilí Ungárach	Puli-hundo
Léasar	Lasero
An Phrúis	Prusio
Muir Thoirian	Tirena maro
Cúipéir	Barelfaristo
Púdal	Pudelo
Uimhir Rómhánach	Romiaj ciferoj
Fiabhras	Febro
4 RC	-4
Teide	Tejdo
1890í	1890-aj jaroj
Brocaire	Terhundoj
Brocaire Breatnach	Kimra terhundo
Cheyenne, Wyoming	Cheyenne
Túr Claonta Pisa	Oblikva turo de Pizo
100 RC	-100
Minas Gerais	Minas-Ĝerajso
Leeds	Leeds
Fuipéad	Angla malgranda leporhundo
8 RC	-8
An Bhoihéim	Bohemio (lando)
Peata	Dombesto
John Steinbeck	John Steinbeck
Brocaire sionnach	Vulpa terhundo
Confadh	Rabio
Richard Feynman	Richard Feynman
Luch	Muso (besto)
Feithideolaíocht	Entomologio
Flannbhuí	Oranĝkolora
Heirts	Herco
Botaí	Sovaĝeja kabano
Ronaldinho	Ronaldinho
Anchorage	Anchorage
Pol Pot	Pol Pot
An Trasalváin	Transilvanio
Emma Watson	Emma Watson
1830í	1830-aj jaroj
Tarracóir	Traktoro
Pará	Parao
Gamal Abdel Nasser	Naser
Uirlis	Laborilo
Brú	Premo
Peitreal	Benzino
Michael Phelps	Michael Phelps
Miteachoindre	Mitokondrio
1800í	1800-aj jaroj
Christiaan Huygens	Christiaan Huygens
Antoine Lavoisier	Antoine Lavoisier
Réinfhia	Boaco
Dochtúir leighis	Kuracisto
Nicolas Appert	Nicolas Appert
Penélope Cruz	Penélope Cruz
14 RC	-14
Ailceimic	Alkemio
27 RC	-27
An Mhacadóin	Makedonio
Teach solais	Lumturo
The Rescuers	The Rescuers
Na Stáit Bhaltacha	Baltio
Stráice Gaza	Gaza Sektoro
Maracas	Marako
Prás	Latuno
19 RC	-19
Inslin	Insulino
Mario Vargas Llosa	Mario Vargas Llosa
Margaíocht	Merkatiko
Gleann	Valo
3 RC	-3
Daonáireamh	Popolnombrado
Stephen King	Stephen King
Miocrorgánach	Mikroorganismo
Radio Studio 54 Network	Radio Studio 54 Network
1860í	1860-aj jaroj
1870í	1870-aj jaroj
Ágreda	Ágreda
Fáinleog	Hirundo
Cincís	Pentekosto
Ballnasc	Ligamento
Bríste	Pantalono
Deichniúr	Jardekoj
Almóinn	Migdalujo
Soiscéal Lúcáis	Evangelio laŭ Luko
58 RC	-58
Cúige Concepción, an tSile	Koncepciono (provinco)
Grianfhuinneamh	Sunenergio
52 RC	-52
Sylvester Stallone	Sylvester Stallone
Rio Grande do Sul	Suda Rio-Grando
Amazonas	Amazonio (ŝtato)
Deoch	Trinkaĵo
Ríomhchlár	Komputila programo
