Африка	Afriko
Мариинск	Mariinsk
Друштвени покрети	Socia movado
Штрајк	Striko
Синдикализам	Sindikatismo
Шенвалд (Баварска)	Schönwald (Bavario)
Хетеросексизам	Aliseksemismo
Зелб	Selb
Рехау	Rehau
Роб Левин	Robert Levin
Чарлс Симоњи	Charles Simonyi
Изопштење	Ekskomuniko
Ветрогенератор	Ventoturbino
Венчање	Nupto
Poštansko sanduče	Poŝtkesto
Документ	Dokumento
Barete, L'Aquila	Barete
Barisciano, L'Aquila	Barisciano
Бареа	Barrea
Bisegna, L'Aquila	Bisegna
Bugnara, L'Aquila	Bugnara
Соломон Берк	Solomon Burke
Предсједнички систем	Prezidenta respubliko
2041	2041
2042	2042
2043	2043
2044	2044
2045	2045
2046	2046
2047	2047
2048	2048
2049	2049
Njuark (Engleska)	Newark-on-Trent
Илона Шталер	Ilona Staller
Велики Магеланов облак	Granda Magelana Nubo
Сабор у Клермону	Apelacio de Clermont-Ferrand
Мали Магеланов облак	Malgranda Magelana Nubo
Italijani	Italoj
Алберто Сорди	Alberto Sordi
Ђулио Андреоти	Giulio Andreotti
Тајмс	The Times
Ексцентричност	Ekscentra
Међународна класификација болести	Klasifiko Internacia de Malsanoj
Džon Stjuart Mil	John Stuart Mill
Акварел	Akvarelo
Culture Club	Culture Club
NGC 3372	NGC 3372
Гарден Гроув (Калифорнија)	Garden Grove (Kalifornio)
Историја астрономије	Historio de la astronomio
Campo di Giove, L'Aquila	Campo di Giove
Canistro, L'Aquila	Canistro
Cansano, L'Aquila	Cansano
Capestrano, L'Aquila	Capestrano
Capistrello, L'Aquila	Capistrello
Capitignano	Capitignano
Caporciano, L'Aquila	Caporciano
Carapelle Calvisio, L'Aquila	Carapelle Calvisio
Carsoli, L'Aquila	Carsoli
Castel di Ieri, L'Aquila	Castel di Ieri
Castel di Sangro	Castel di Sangro
Castelvecchio Calvisio, L'Aquila	Castelvecchio Calvisio
Castelvecchio Subequo, L'Aquila	Castelvecchio Subequo
Celano, L'Aquila	Celano
Cerchio, L'Aquila	Cerchio
Civita d'Antino, L'Aquila	Civita d'Antino
Civitella Alfedena, L'Aquila	Civitella Alfedena
Civitella Roveto, L'Aquila	Civitella Roveto
Cocullo, L'Aquila	Cocullo
Collarmele, L'Aquila	Collarmele
Collelongo, L'Aquila	Collelongo
Collepietro	Collepietro
Corfinio, L'Aquila	Corfinio
Fontecchio, L'Aquila	Fontecchio
Gagliano Aterno, L'Aquila	Gagliano Aterno
Gioia dei Marsi, L'Aquila	Gioia dei Marsi
Goriano Sicoli, L'Aquila	Goriano Sicoli
Introdacqua, L'Aquila	Introdacqua
Lecce Nei Marsi, L'Aquila	Lecce nei Marsi
Lucoli, L'Aquila	Lucoli
Molina Aterno, L'Aquila	Molina Aterno
Morino, L'Aquila	Morino
Navelli, L'Aquila	Navelli
San Panfilo d'Ocre, L'Aquila	Ocre
Ofena, L'Aquila	Ofena
Ortucchio, L'Aquila	Ortucchio
Ovindoli, L'Aquila	Ovindoli
Pacentro, L'Aquila	Pacentro
Pereto	Pereto
Pescina, L'Aquila	Pescina
Pescocostanzo, L'Aquila	Pescocostanzo
Pettorano sul Gizio, L'Aquila	Pettorano sul Gizio
Pizzoli	Pizzoli
Poggio Picenze, L'Aquila	Poggio Picenze
Pratola Peligna, L'Aquila	Pratola Peligna
Prezza, L'Aquila	Prezza
Rocca Pia, L'Aquila	Rocca Pia
Rocca di Mezzo	Rocca di Mezzo
Roccaraso, L'Aquila	Roccaraso
San Benedetto dei Marsi, L'Aquila	San Benedetto dei Marsi
San Benedetto in Perillis, L'Aquila	San Benedetto in Perillis
San Demetrio Ne' Vestini, L'Aquila	San Demetrio ne' Vestini
San Pio delle Camere, L'Aquila	San Pio delle Camere
Santo Stefano di Sessanio, L'Aquila	Santo Stefano di Sessanio
Scanno, L'Aquila	Scanno
Scontrone, L'Aquila	Scontrone
Secinaro, L'Aquila	Secinaro
Сулмона	Sulmona
Tione degli Abruzzi, L'Aquila	Tione degli Abruzzi
Trasacco, L'Aquila	Trasacco
Villa Santa Lucia degli Abruzzi, L'Aquila	Villa Santa Lucia degli Abruzzi
Villalago, L'Aquila	Villalago
Villetta Barrea, L'Aquila	Villetta Barrea
Vittorito, L'Aquila	Vittorito
Франсоа Купрен	François Couperin
Сезар Франк	César Franck
Људска комедија	La Homa Komedio
Анси	Annecy
Тројански коњ (митологија)	Troja ĉevalo (mitologio)
Имола	Imola
Ferentino	Ferentino
Административна подела Кине	Administra divido de Ĉinio
Префектуре Јапана	Gubernioj de Japanio
Карлос Тевез	Carlos Tévez
ФК Манчестер сити	Manchester City F.C.
Естфолд	Østfold
Акерсхус	Akershus
Хедмарк	Hedmark
Опланд	Oppland
Бускеруд	Buskerud
Вестфолд	Vestfold
Источни Агдер	Aust-Agder
Западни Агдер	Vest-Agder
Рогаланд	Rogaland
Хордаланд	Hordaland
Согн ог Фјордане	Sogn og Fjordane
Мере ог Ромсдал	Møre og Romsdal
Јужни Тренделаг	Sør-Trøndelag
Северни Тренделаг	Nord-Trøndelag
Нордланд	Nordland
Тромс	Troms
Финмарк	Finnmark
Историја уметности	Historio de arto
NGC 51	NGC 51
Канта за заливање	Akvumilo
NGC 52	NGC 52
NGC 53	NGC 53
NGC 54	NGC 54
NGC 55	NGC 55
NGC 57	NGC 57
NGC 59	NGC 59
NGC 60	NGC 60
Џон Драмани Махама	John Dramani Mahama
Једнопартијска држава	Unupartiismo
Оксид	Oksido
Променљива (математика)	Variablo
Допуна до потпуног квадрата	Plenigo de kvadrato
Квадрат (алгебра)	Kvadrata nombro
Дељивост	Divizoro
Поштанска кочија (филм)	Stagecoach
Париски метро	Metroo de Parizo
Пирит	Pirito
Мисисога	Misisogo (Ontario)
Bolognano, Pescara	Bolognano
Crno tržište	Nigra merkato
Вегелебен	Wegeleben
Зеланд (Саксонија-Анхалт)	Seeland (Saksio-Anhalto)
Тангерхите	Tangerhütte
Шванебек	Schwanebeck
Египатски језик	Egipta lingvo
Фалкенштајн (Харц)	Falkenstein (Harco)
Мекерн	Möckern
Клеце	Klötze
Гомерн	Gommern
Хетштет	Hettstedt
Баленштет	Ballenstedt
Шидер-Шваленберг	Schieder-Schwalenberg
Гербштет	Gerbstedt
Бад Минстер ам Штајн-Ебернбург	Bad Münster am Stein-Ebernburg
Вахенхајм ан дер Винштрасе	Wachenheim an der Weinstraße
Хер-Гренцхаузен	Höhr-Grenzhausen
Грос Милцов	Groß Miltzow
Хелпт	Helpt
Кубланк	Kublank
Милдениц	Mildenitz
Нецка	Neetzka
Петерсдорф (Волдек)	Petersdorf (apud Woldegk)
Шенбек (Мекленбург-Западна Померанија)	Schönbeck
Шенхаузен (Мекленбург)	Schönhausen (Meklenburgo)
Фогтсдорф	Voigtsdorf
Волдек	Woldegk
Базедов (Мекленбург)	Basedow (Meklenburgo)
Евгеније Оњегин (роман)	Eŭgeno Onegin
Дуков	Duckow
Фауленрост	Faulenrost
Гилов	Gielow
Кумеров (ам Зе)	Kummerow (am See)
Малхин	Malchin
Нојкален	Neukalen
Даргун	Dargun
Демин	Demmin
Бреденфелде	Bredenfelde
Бригов	Briggow
Граментин	Grammentin
Гилцов (Штавенхаген)	Gülzow (apud Stavenhagen)
Ивенак	Ivenack
Јиргенсторф	Jürgenstorf
Китендорф	Kittendorf
Кнорендорф	Knorrendorf
Ksantin	Ksantino
Мелн (Мекленбург)	Mölln (Meklenburgo)
Рицеров	Ritzerow
Розенов	Rosenow
Штавенхаген	Stavenhagen
Цетемин	Zettemin
Џон Ата Милс	John Atta-Mills
Ванеса Паради	Vanessa Paradis
Франц Јозеф	Francisko Jozefo la 1-a (Aŭstrio)
Осорно	Osorno (urbo)
Карл I од Аустрије	Karolo la 1-a (Aŭstrio)
Антонио Салијери	Antonio Salieri
Кали	Santiago de Cali
Џон Форд	John Ford (reĝisoro)
AKB48	AKB48
Уједињење Италије	Unuiĝo de Italio
Дејвид В. Грифит	David Wark Griffith
Арпадовићи	Arpad-dinastio
Capo d'Orlando	Capo d'Orlando
Алтино (Кјети)	Altino
Archi, Chieti	Archi
Ari, Chieti	Ari
Arielli, Chieti	Arielli
Atessa, Chieti	Atessa
Бомба (Кјети)	Bomba
Borrello, Chieti	Borrello
Bucchianico, Chieti	Bucchianico
Canosa Sannita, Chieti	Canosa Sannita
Carpineto Sinello, Chieti	Carpineto Sinello
Carunchio, Chieti	Carunchio
Casacanditella, Chieti	Casacanditella
Casalanguida, Chieti	Casalanguida
Casalincontrada, Chieti	Casalincontrada
Casoli	Casoli
Castel Frentano, Chieti	Castel Frentano
Castelguidone, Chieti	Castelguidone
Castiglione Messer Marino, Chieti	Castiglione Messer Marino
Celenza sul Trigno, Chieti	Celenza sul Trigno
Civitaluparella, Chieti	Civitaluparella
Civitella Messer Raimondo, Chieti	Civitella Messer Raimondo
Colledimacine, Chieti	Colledimacine
Colledimezzo, Chieti	Colledimezzo
Crecchio, Chieti	Crecchio
Cupello, Chieti	Cupello
Dogliola, Chieti	Dogliola
Fara Filiorum Petri, Chieti	Fara Filiorum Petri
Fara San Martino, Chieti	Fara San Martino
Filetto	Filetto
Fossacesia, Chieti	Fossacesia
Fraine	Fraine
Francavilla al Mare, Chieti	Francavilla al Mare
Fresagrandinaria, Chieti	Fresagrandinaria
Frisa, Chieti	Frisa
Furci, Chieti	Furci
Gamberale, Chieti	Gamberale
Gessopalena, Chieti	Gessopalena
Gissi, Chieti	Gissi
Giuliano Teatino, Chieti	Giuliano Teatino
Guardiagrele, Chieti	Guardiagrele
Guilmi, Chieti	Guilmi
Lama dei Peligni, Chieti	Lama dei Peligni
Lentella, Chieti	Lentella
Lettopalena, Chieti	Lettopalena
Liscia	Liscia
Miglianico	Miglianico
Montazzoli, Chieti	Montazzoli
Montenerodomo, Chieti	Montenerodomo
Уфици	Uffizi
Monteodorisio, Chieti	Monteodorisio
Mozzagrogna, Chieti	Mozzagrogna
Orsogna, Chieti	Orsogna
Ортона	Ortona
Paglieta, Chieti	Paglieta
Palena, Chieti	Palena
Palmoli, Chieti	Palmoli
Palombaro	Palombaro
Pennadomo, Chieti	Pennadomo
Pennapiedimonte, Chieti	Pennapiedimonte
Perano, Chieti	Perano
Pizzoferrato, Chieti	Pizzoferrato
Poggiofiorito, Chieti	Poggiofiorito
Pollutri, Chieti	Pollutri
Pretoro, Chieti	Pretoro (Italio)
Quadri	Quadri
Rapino, Chieti	Rapino
Rocca San Giovanni, Chieti	Rocca San Giovanni
Roccascalegna, Chieti	Roccascalegna
Rosello	Rosello
Ripa Teatina, Chieti	Ripa Teatina
San Buono, Chieti	San Buono
San Giovanni Lipioni, Chieti	San Giovanni Lipioni
San Giovanni Teatino, Chieti	San Giovanni Teatino
San Martino sulla Marrucina, Chieti	San Martino sulla Marrucina
San Salvo, Chieti	San Salvo
San Vito Chietino, Chieti	San Vito Chietino
Усна хармоника	Buŝharmoniko
Santa Maria Imbaro, Chieti	Santa Maria Imbaro
Sant'Eusanio del Sangro, Chieti	Sant'Eusanio del Sangro
Шерни	Scerni
Schiavi di Abruzzo, Chieti	Schiavi di Abruzzo
Taranta Peligna, Chieti	Taranta Peligna
Tollo	Tollo
Torino di Sangro, Chieti	Torino di Sangro
Tornareccio, Chieti	Tornareccio
Torrebruna, Chieti	Torrebruna
Torricella Peligna, Chieti	Torricella Peligna
Treglio, Chieti	Treglio
Tufillo, Chieti	Tufillo
Vacri, Chieti	Vacri
Васто	Vasto
Villalfonsina, Chieti	Villalfonsina
Villamagna	Villamagna
Villa Santa Maria	Villa Santa Maria
Alanno, Pescara	Alanno
Brittoli, Pescara	Brittoli
Bussi sul Tirino, Pescara	Bussi sul Tirino
Cappelle sul Tavo, Pescara	Cappelle sul Tavo
Caramanico Terme, Pescara	Caramanico Terme
Carpineto della Nora, Pescara	Carpineto della Nora
Catignano	Catignano
Castiglione a Casauria, Pescara	Castiglione a Casauria
Cepagatti, Pescara	Cepagatti
Città Sant'Angelo, Pescara	Città Sant'Angelo
Civitaquana, Pescara	Civitaquana
Civitella Casanova, Pescara	Civitella Casanova
Collecorvino, Pescara	Collecorvino
Corvara, Pescara	Corvara (Abruzo)
Cugnoli, Pescara	Cugnoli
Elice, Pescara	Elice
Farindola, Pescara	Farindola
Lettomanoppello, Pescara	Lettomanoppello
Чандрасекарова граница	Limigo de Chandrasekhar
Loreto Aprutino, Pescara	Loreto Aprutino
Manoppello, Pescara	Manoppello
Montebello di Bertona, Pescara	Montebello di Bertona
Монтесилвано	Montesilvano
Moscufo, Pescara	Moscufo
Nocciano, Pescara	Nocciano
Penne, Pescara	Penne
Pianella	Pianella
Picciano	Picciano
Pietranico, Pescara	Pietranico
Popoli	Popoli
Roccamorice, Pescara	Roccamorice
Rosciano	Rosciano
Salle, Pescara	Salle
Sant'Eufemia a Maiella, Pescara	Sant'Eufemia a Maiella
San Valentino in Abruzzo Citeriore, Pescara	San Valentino in Abruzzo Citeriore
Scafa	Scafa
Serramonacesca, Pescara	Serramonacesca
ЛГБТ симболи	GLAT-simboloj
Spoltore	Spoltore
Стоунволска побуна	Ribelo de Stonewall
Parada ponosa	Geja Fiero
Tocco da Casauria, Pescara	Tocco da Casauria
Torre de' Passeri, Pescara	Torre de' Passeri
Turrivalignani, Pescara	Turrivalignani
Vicoli, Pescara	Vicoli
Villa Celiera, Pescara	Villa Celiera
Alba Adriatica, Teramo	Alba Adriatica
Ancarano, Teramo	Ancarano
Arsita, Teramo	Arsita
Atri (Italija)	Atri
Basciano	Basciano
Bellante, Teramo	Bellante
Bisenti, Teramo	Bisenti
Campli, Teramo	Campli
Canzano, Teramo	Canzano
Castel Castagna, Teramo	Castel Castagna
Castellalto, Teramo	Castellalto
Гњезно	Gniezno
Castelli, Teramo	Castelli
Хођеж	Chodzież
Castiglione Messer Raimondo, Teramo	Castiglione Messer Raimondo
Castilenti, Teramo	Castilenti
Cellino Attanasio, Teramo	Cellino Attanasio
Cermignano, Teramo	Cermignano
Civitella del Tronto, Teramo	Civitella del Tronto
Colledara, Teramo	Colledara
Colonnella	Colonnella
Controguerra, Teramo	Controguerra
Corropoli, Teramo	Corropoli
Cortino	Cortino
Crognaleto, Teramo	Crognaleto
Fano Adriano, Teramo	Fano Adriano
Ђулијанова	Giulianova
Isola del Gran Sasso d'Italia, Teramo	Isola del Gran Sasso d'Italia
Martinsicuro, Teramo	Martinsicuro
Montefino, Teramo	Montefino
Montorio al Vomano, Teramo	Montorio al Vomano
Morro d'Oro, Teramo	Morro d'Oro
Mosciano Sant'Angelo, Teramo	Mosciano Sant'Angelo
Nereto, Teramo	Nereto
Notaresco, Teramo	Notaresco
Penna Sant'Andrea, Teramo	Penna Sant'Andrea
Pietracamela, Teramo	Pietracamela
Pineto, Teramo	Pineto
Sant'Egidio alla Vibrata, Teramo	Sant'Egidio alla Vibrata
Sant'Omero, Teramo	Sant'Omero
Silvi, Teramo	Silvi
Torano Nuovo, Teramo	Torano Nuovo
Tortoreto, Teramo	Tortoreto
Tossicia, Teramo	Tossicia
Valle Castellana, Teramo	Valle Castellana
Мајкл Кертиз	Michael Curtiz
Френк Капра	Frank Capra
Амперов закон	Ampera cirkvita leĝo
Максвелове једначине	Ekvacioj de Maxwell
Ричард Атенборо	Richard Attenborough
Сидни Полак	Sydney Pollack
Милош Форман	Miloš Forman
Винсент Минели	Vincente Minnelli
Луис Буњуел	Luis Buñuel
Били Вајлдер	Billy Wilder
Роман Полански	Roman Polański
Пуенте Алто	Puente Alto
Праскави сугласник	Plozivo
Пунта Аренас	Punta Arenas
Посланица Филипљанима	Epistolo al la filipianoj
Анадолија	Anatolio
Реквијем	Rekviemo
Беатификација	Beatigo
Канонизација	Kanonizo
Канон Светог писма	Biblia kanono
Isusovo uskrsnuće	Resurekto de Jesuo
Месија	Mesio
Hronologija Isusa	Dato de la morto de Jesuo
Родослов Исуса Христа	Kanonikaj Genealogioj de Jesuo
Исусове приче	Paraboloj de Jesuo
Тајна вечера	Lasta Vespermanĝo
Isusovo raspeće	Krucumo de Jesuo
Спасовдан	Ĉieliro
Беседа на гори	Surmonta Parolado
Blaženstva	Beatecoj
Рано хришћанство	Apero de kristanismo
Васељенски сабори	Koncilio
Велики раскол	Orienta skismo
Први крсташки рат	Unua krucmilito
Катарски крсташки рат	Albigensismo
Дечји крсташки рат	Krucmilito de infanoj
Седми крсташки рат	Sepa krucmilito
Иса	Isa bin Marjam
Istorijski Isus	Jesuo historia
Страдање Христово	La Pasiono de Kristo
Дванаест племена Израела	Izraelidoj
Песма над песмама	Alta Kanto de Salomono
Tri mudraca	Tri reĝoj
Ирод Велики	Herodo la Granda
Марко Антоније	Marko Antonio
Књига пророка Малахије	Libro de Malaĥi
Арон	Aaron
Паго Паго	Pagopago
Сајпан	Saipano
Шарлота Амалија (град)	Ĉarlotamalio
Глендејл (Аризона)	Glendale (Arizono)
Гилберт (Аризона)	Gilbert (Arizono)
Темпи (Аризона)	Tempe (Arizono)
Пиорија (Аризона)	Peoria (Arizono)
Сурпрајз (Аризона)	Surprise (Arizono)
Плејно	Plano (Teksaso)
Ервинг (Тексас)	Irving (Teksaso)
Амарило	Amarillo
Браунсвил (Тексас)	Brownsville (Teksaso)
Гранд Прери (Тексас)	Grand Prairie (Teksaso)
Пасадена (Тексас)	Pasadena (Teksaso)
Мескит (Тексас)	Mesquite (Teksaso)
