აფრიკა	Afriko
ომის ხელოვნება	La Militarto
კატეგორია:მუსიკა	Kategorio:Muziko
ათას ერთი ღამე	Mil kaj unu noktoj
კატეგორია:ლიტერატურა	Kategorio:Literaturo
რომანი	Romano
კატეგორია:პოეზია	Kategorio:Poezio
კატეგორია:საფრანგეთის ისტორია	Kategorio:Historio de Francio
ევროზონა	Eŭrozono
გენძი მონოგატარი	Genĵi monogatari
გილგამეშის ეპოსი	Eposo pri Gilgameŝ
მანგა	Mangao
ილიადა	Iliado
მაჰაბჰარატა	Mahabharato
შაჰნამე	Ŝahnameo
დავიდ გეტა	David Guetta
გოგრისებრნი	Kukurbacoj
ორლებნიანნი	Dukotiledonaj plantoj
ჩვეულებრივი მელა	Ruĝa vulpo
ფედერალური საგამოძიებო ბიურო	FBI
ჰარი პოტერი	Harry Potter
საყვირი	Trumpeto
ჯაზი	Ĵazo
კლარნეტი	Klarneto
გუდასტვირი	Sakŝalmo
უცნაური ელ იანკოვიჩი	@@@u0026Weird Al@@@u0026 Yankovic
ვიოლინო	Violono
ვალიადოლიდი	Valadolido
ალგორითმი	Algoritmo
ლუი X	Ludoviko la 10-a (Francio)
ოსტრავა	Ostrava
პედოფილია	Pedofilio
.ac	.ac
ზოოფილია	Zoofilio
მასტურბაცია	Sinmasturbado
ანალური სექსი	Anusa seksumado
ფელაცია	Midzo
კუნილინგუსი	Franzo
ჟან I (საფრანგეთი)	Johano la 1-a (Francio)
ალექსანდრე მაკედონელი	Aleksandro la Granda
კონსტანტინე I დიდი	Konstantino la 1-a de la Romia Imperio
ხელბურთი	Manpilkado
კიროს II დიდი	Kiro la 2-a
აეროდინამიკა	Aerodinamiko
საზოგადოება	Socio
თურქოლოგია	Tjurkologio
ცივილიზაცია	Civilizo
ფილიპ V (საფრანგეთი)	Filipo la 5-a (Francio)
განათლება	Eduko
ოჯახი	Familio
უგო ჩავესი	Hugo Chávez
მამაკაცი	Viro
ოტო ფონ ბისმარკი	Otto von Bismarck
ქორწინება	Geedzeco
კურტ კობეინი	Kurt Cobain
ფრანგული ვიკიპედია	Franclingva Vikipedio
ესპანური ვიკიპედია	Hispanlingva Vikipedio
აბორტი	Aborto
სიკვდილით დასჯა	Mortpuno
ადამიანის უფლებები	Homaj rajtoj
რასიზმი	Rasismo
თემურლენგი	Timur
მონათმფლობელობა	Sklaveco
სამოქალაქო ომი	Interna milito
უმარ იბნ ალ-ხატაბი	Umar ibn al-Ĥattab
ზაფხულის ოლიმპიური თამაშები 1988	Somera Olimpiko 1988
რეჯო-დი-კალაბრია	Reggio di Calabria
შეიარაღებული ძალები	Militfortoj
სულეიმან I	Sulejmano la 1-a
პეტრე I დიდი	Petro la Granda
ყავა	Kafo
ზაფხულის ოლიმპიური თამაშები 1992	Somera Olimpiko 1992
ამუდარია	Amudarjo
რძე	Lakto
მთა	Monto
მონაცემთა ბაზა	Datumbazo
უდაბნო	Dezerto
მაინ-ტაუბერის რაიონი	Distrikto Main-Tauber
ჰოენლოეს რაიონი	Distrikto Hohenlohe
შვებიშ-ჰალის რაიონი	Distrikto Schwäbisch Hall
აღმოსავლეთ ალბის რაიონი	Distrikto Ostalb
ჰაიდენჰაიმის რაიონი	Distrikto Heidenheim
გეპინგენის რაიონი	Distrikto Göppingen
რემს-მურის რაიონი	Distrikto Rems-Murr
ზაფხულის ოლიმპიური თამაშები 1996	Somera Olimpiko 1996
ესლინგენის რაიონი	Distrikto Esslingen
ბებლინგენის რაიონი	Distrikto Böblingen
დიდი აფეთქების თეორია (სერიალი)	The Big Bang Theory
ლუდვიგსბურგის რაიონი	Distrikto Ludwigsburg
გერმერსჰაიმის რაიონი	Distrikto Germersheim
ზაფხულის ოლიმპიური თამაშები 2000	Somera Olimpiko 2000
სამხრეთ ვაინშტრასეს რაიონი	Distrikto Südliche Weinstraße
სამხრეთ-დასავლეთ პფალცის რაიონი	Distrikto Südwestpfalz
რაინ-პფალცის რაიონი	Distrikto Rhein-Pfalz
ბად-დიურკჰაიმის რაიონი	Distrikto Bad Dürkheim
ზაფხულის ოლიმპიური თამაშები 2004	Somera Olimpiko 2004
კაიზერსლაუტერნის რაიონი	Distrikto Kaiserslautern
კუზელის რაიონი	Distrikto Kusel
დონერსბერგის რაიონი	Distrikto Donnersberg
ალცაი-ვორმსის რაიონი	Distrikto Alzey-Worms
ზაფხულის ოლიმპიური თამაშები 2008	Somera Olimpiko 2008
მაინც-ბინგენის რაიონი	Distrikto Mainz-Bingen
ბად-კროიცნახის რაიონი	Distrikto Bad Kreuznach
სუნ იატსენი	Sun Jatsen
რაინ-ჰუნსრიუკის რაიონი	Distrikto Rhein-Hunsrück
ბირკენფელდის რაიონი	Distrikto Birkenfeld
ზაფხულის ოლიმპიური თამაშები 2012	Somera Olimpiko 2012
ტრირ-ზაარბურგის რაიონი	Distrikto Trier-Saarburg
აიფელ-ბიტბურგ-პრიუმის რაიონი	Distrikto Bitburg-Prüm
სალადინი	Saladino
ვულკანაიფელის რაიონი	Distrikto Vulkaneifel
ბერნკასტელ-ვიტლიხის რაიონი	Distrikto Bernkastel-Wittlich
აშოკა	Aŝoko
კოხემ-ცელის რაიონი	Distrikto Cochem-Zell
მაიენ-კობლენცის რაიონი	Distrikto Mayen-Koblenz
არვაილის რაიონი	Distrikto Ahrweiler
აქბარი	Jalaluddin Muhammad Akbar
რაინ-ლანის რაიონი	Distrikto Rhein-Lahn
ვესტერვალდის რაიონი	Distrikto Westerwald
სიმონ ბოლივარი	Simón Bolívar
ნოივიდის რაიონი	Distrikto Neuwied
ალტენკირხენ-ვესტერვალდის რაიონი	Distrikto Altenkirchen
ჰიპნოზი	Hipnoto
სპეცია	La Spezia
ენდრიუ ჯონსონი	Andrew Johnson
ზაფხულის ოლიმპიური თამაშები 2016	Somera Olimpiko 2016
ვესტფალია	Vestfalio
კვამე ნკრუმა	Kwame Nkrumah
ტერნი	Terno
იდიში	Jida lingvo
ჰონგ-კონგი	Honkongo
მაიამი	Miamo
კარაჩი	Karaĉio
კორეის ომი	Korea milito
მენახირის თანავარსკვლავედი	Bovisto (konstelacio)
ახლო აღმოსავლეთის კონფლიქტი	Araba-israela konflikto
ლაგოსი	Lagoso
გველეშაპის თანავარსკვლავედი	Drako (konstelacio)
აშშ-ის სამოქალაქო ომი	Usona Enlanda Milito
რიო-დე-ჟანეირო	Rio-de-Ĵanejro
თევზების თანავარსკვლავედი	Fiŝoj (konstelacio)
ბრიტანეთის იმპერია	Brita imperio
რეალ მადრიდი (საფეხბურთო კლუბი)	Real Madrid
ცივი ომი	Malvarma milito
სეული	Seulo
შანხაი	Ŝanhajo
ატლეტიკი ბილბაო (საფეხბურთო კლუბი)	Athletic Bilbao
ჩინეთის კულტურული რევოლუცია	Kultura Revolucio
ლონდონის ჰითროუს აეროპორტი	Flughaveno London Heathrow
ბილბაო	Bilbao
დიდი დეპრესია	Granda depresio
ატლეტიკო მადრიდი	Atlético Madrid
ლონდონის გატვიკის აეროპორტი	Flughaveno London Gatwick
უოლტ დისნეი	Walt Disney
მეიძის რესტავრაცია	Reformo Mejĝi
ლონდონის სტანსტედის აეროპორტი	Flughaveno London Stansted
სევილია	Sevilo
რუსეთის რევოლუცია	Rusia revolucio de 1917
ცინის დინასტია	Dinastio Qing
მიდია	Medoj
ვერსალის საზავო ხელშეკრულება (1919)	Traktato de Versajlo
არქიმედე	Arkimedo
ინდოჩინეთის მეორე ომი	Vjetnama milito
ტომას ალვა ედისონი	Thomas Alva Edison
ვიგო	Vigo
ევკლიდე	Eŭklido
ალბანური ენა	Albana lingvo
მაიკლ ფარადეი	Michael Faraday
ბასკური ენა	Eŭska lingvo
ენრიკო ფერმი	Enrico Fermi
ლა-კორუნია	Korunjo
ფიბონაჩი	Fibonacci
ჰენრი ფორდი	Henry Ford
ჟან ბატისტ ჟოზეფ ფურიე	Jean Baptiste Joseph Fourier
გალენოსი	Galeno de Pergamo
ენრიკე კაპრილეს რადონსკი	Henrique Capriles Radonski
სომხური ენა	Armena lingvo
კრიპტოგრაფია	Kriptologio
ინტერნეტ ოქმი	IP
უკრაინული ენა	Ukraina lingvo
ბაიტი	Bitoko
ბიტი	Bito
გრანადა	Granado
ჰიპერტექსტური მარკირების ენა	HTML
ოგიუსტენ ლუი კოში	Augustin Louis Cauchy
ვალენსია	Valencio
უნიკოდი	Unikodo
ჩერნოგორული ენა	Montenegra lingvo
პალმა (ქალაქი)	Palma de Majorko
მალიორკა	Majorko
ჟირაფის თანავარსკვლავედი	Ĝirafo (konstelacio)
ვენესუელის გერბი	Blazono de Venezuelo
ოქროს თევზის თანავარსკვლავედი	Orfiŝo (konstelacio)
ვეშაპის თანავარსკვლავედი	Baleno (konstelacio)
ქალწულის თანავარსკვლავედი	Virgo (konstelacio)
კენტავრის თანავარსკვლავედი	Centaŭro (konstelacio)
კირჩხიბის თანავარსკვლავედი	Kankro (konstelacio)
მალაგა (ქალაქი)	Malago
ლომის თანავარსკვლავედი	Leono (konstelacio)
ორიონის თანავარსკვლავედი	Oriono (konstelacio)
