Afraga	Afriko
855	855
818	818
837	837
845	845
Wangerooge	Wangerooge
166	166
Punnd Sasannach	Brita pundo
Guernsey	Guernsey
Svalbard	Svalbardo
Lon dubh	Merlo
Uair	Horo
Peasair	Ĝardena pizo
Beith	Betulo
2016	2016
Nowy Dwór Królewski	Nowy Dwór Królewski
Fàrothais	Feroa lingvo
Sgoil-aimsir	Meteologio
552	552
Joule	Ĵulo
Corra-ghritheach	Griza ardeo
2019	2019
Hispaniola	Hispaniolo
Harrisburg, Pennsylvania	Harrisburg (Pensilvanio)
Da Lat	Da Lat
Uppsala	Upsalo
Göteborg	Göteborg
Còrnais	Kornvala lingvo
2017	2017
2018	2018
Cànanan Ceilteach	Kelta lingvaro
6mh linn RC	6-a jarcento a.K.
1ad linn RC	1-a jarcento a.K.
2na linn RC	2-a jarcento a.K.
Washington	Washington
Pioghaid	Eŭropa pigo
Neas bheag	Vizelo
Comhachag	Turstrigo
Aarhus	Arhuzo
3mh linn RC	3-a jarcento a.K.
Brù-dhearg	Ruĝgorĝulo
4mh linn RC	4-a jarcento a.K.
Pocanach	Marsupiulo
2020	2020
5mh linn RC	5-a jarcento a.K.
7mh linn RC	7-a jarcento a.K.
Cumhachd	Povumo
Neas mhòr	Ermeno
8mh linn RC	8-a jarcento a.K.
Tunnag fhiadhaich	Platbeka anaso
Theodor Mommsen	Theodor Mommsen
Fitheach	Korako
Meanbh-bheò	Planktono
Dràma	Dramo (verko)
Atlantis	Atlantido
Breacan-beithe	Fringo
Leeuwarden	Leeuwarden
Curracag	Vanelo
Cadhag	Monedo
Breac an t-sìl	Blanka motacilo
Faidhbhile	Fago
Helsingborg	Helsingborg
Deargan-fraoich	Kardelo
9mh linn RC	9-a jarcento a.K.
10mh linn RC	10-a jarcento a.K.
Gobhlan-gaoithe	Kamphirundo
Sgarbh	Granda kormorano
Sòrbais	Soraba lingvo
Funchal	Funchal
Bovidae	Bovedoj
Sjælland	Sjælland
600	600
St. Gallen	Sankt-Galo
400	400
300	300
Aiseag	Pramo
Aiteann	Junipero
1mh mìle-bliadhna RC	1-a jarmilo a.K.
Dreathan donn	Troglodito
Kaikoura District	Kaikoura
2 mìle-bliadhna	2-a jarmilo
1 mìle-bliadhna	1-a jarmilo
Antalop	Antilopo
Uiseag	Kampalaŭdo
Hermann Hesse	Hermann Hesse
Coileach-coille	Eŭrazia skolopo
Växjö	Växjö
Neòinean	Lekanteto
Buidheag-bhealaidh	Flava emberizo
3mh mìle-bliadhna	3-a jarmilo
Esbjerg	Esbjerg
Madeira	Madejro
2 mìle-bliadhna RC	2-a jarmilo a.K.
Oilthigh Niccolò Cusano	Università degli Studi Niccolò Cusano
Smeòrach	Kantoturdo
Dordrecht	Dordrecht
Montpelier, Vermont	Montpelier (Vermonto)
Tilburg	Tilburg
1040an	1040-aj jaroj
Hidalgo County, Texas	Kantono Hidalgo (Teksaso)
Saideal fuadain	Artefarita satelito
Yak	Gruntbovo
Cam-ghob	Malgranda krucbekulo
Arspag	Nigramantela mevo
Lach-mhòr	Molanaso
Clo-mheas	Kariofilo
Beanntan Sierra Nevada	Sierra Nevada (Usono)
Spruis	Piceo
Coileach Frangach	Komuna meleagro
San Andrés y Providencia (Roinn)	Sankta Andreo kaj Providenco
Inneal-fogharaidh	Kombajno
Ròn cumanta	Ordinara foko
Háček	Haĉeko
Wayne County, Utah	Kantono Wayne (Utaho)
Broc	Melo
Garding	Garding
Crìonag	Fajroverta regolo
Afraga-Eoràisia	Afrik-Eŭrazio
Faoileag	Mevo
Aimearaga Mheadhanach	Centra Ameriko
Mikhail Bakunin	Miĥail Bakunin
Ostfriesische Inseln	Orientfrisaj insuloj
Chester County, Pennsylvania	Kantono Chester (Pensilvanio)
Beus	Baso
Gille-fionntrainn	Litorino
Caineal	Cinamo
Jackson, Mississippi	Jackson (Misisipio)
Augusta, Maine	Augusta (Majno)
Lansing, Michigan	Lansing (Miĉigano)
Amarais	Amhara lingvo
Concord, Hampshire Nuadh	Concord (Nov-Hampŝiro)
Oitir	Sablobenko
Ialtag	Kiropteroj
36	36
Falt	Haro
Springfield, Illinois	Springfield (Ilinojo)
Tarnobrzeg	Tarnobrzeg
Neas	Musteloj
Frankfort, Kentucky	Frankfort (Kentukio)
Proifeasan	Profesio
Saint Paul, Minnesota	Saint Paul (Minesoto)
Glaisean	Paseredoj
Miloš Zeman	Miloš Zeman
C.B. Kuban Krasnodar	FK Kuban Krasnodar
Francisco Franco	Francisco Franco
Easbaig	Episkopo
Tarja Halonen	Tarja Halonen
Sant-Brieg	Saint-Brieuc
Bill Murray	Bill Murray
Montgomery, Alabama	Montgomery (Alabamo)
Sìona (roinn chultarach)	Ĉinio
Dluthad	Denso
Ferio	Ferlo
815	815
816	816
822	822
840	840
823	823
3mh mìle-bliadhna RC	3-a jarmilo a.K.
811	811
771	771
Mordvin	Erzja lingvo
888	888
768	768
851	851
205	205
159	159
Gallais	Gaŭla lingvo
107	107
162	162
103	103
802	802
804	804
119	119
118	118
801	801
807	807
806	806
Cafaidh	Kafejo
152	152
Beàrnan-brìde	Taraksako
240	240
218	218
655	655
496	496
238	238
197	197
451	451
775	775
489	489
Dà-chànanas	Plurlingveco
784	784
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
636	636
408	408
464	464
Rionnach	Skombro
410	410
956	956
952	952
658	658
650	650
518	518
70	70
81	81
Leopard-sneachda	Neĝleopardo
Boglach	Aluvia grundo
69	69
87	87
65	65
66	66
67	67
55	55
34	34
44	44
35	35
64	64
504	504
Ròn	Fokuloj
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
Ecser	Ecser
978	978
Cànan Silesianach	Silezia lingvo
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mikhail Gorbachev	Miĥail Gorbaĉov
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
Seabhag	Migra falko
758	758
350	350
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
648	648
686	686
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
Auguste Rodin	Auguste Rodin
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
225	225
311	311
220	220
541	541
642	642
Oscar Wilde	Oscar Wilde
313	313
180	180
794	794
587	587
530	530
609	609
497	497
540	540
428	428
Neach-seinn àirde	Soprano
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
291	291
48	48
97	97
56	56
93	93
Alofi	Alofo
57	57
Poilinèis na Frainge	Franca Polinezio
Rouen	Rueno
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
Yaren	Jareno
508	508
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
630	630
614	614
505	505
446	446
791	791
557	557
Àireamhair	Kalkulilo
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
Piorraid	Papagoformaj
521	521
92	92
597	597
329	329
Kraków	Krakovo
133	133
413	413
258	258
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
191	191
450	450
612	612
635	635
611	611
534	534
488	488
607	607
524	524
282	282
472	472
471	471
490	490
316	316
797	797
511	511
295	295
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Cur-ris	Adicio
284	284
283	283
Pahlavi	Mezpersa lingvo
241	241
243	243
262	262
498	498
336	336
334	334
266	266
Dòrnaireachd	Boksado
261	261
470	470
349	349
271	271
275	275
292	292
296	296
345	345
431	431
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
288	288
Teàrlach V, Iompaire Naomh Ròmanach	Karlo la 5-a (Sankta Romia Imperio)
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Asal stiallach	Zebro
276	276
Mosg	Moskeo
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
214	214
213	213
212	212
228	228
227	227
149	149
174	174
189	189
199	199
141	141
132	132
125	125
123	123
Vincent du Vigneaud	Vincent du Vigneaud
147	147
144	144
198	198
178	178
177	177
187	187
195	195
186	186
347	347
620	620
624	624
605	605
629	629
616	616
615	615
644	644
646	646
633	633
637	637
436	436
434	434
293	293
427	427
185	185
321	321
327	327
430	430
Leon Trotsky	Lev Trockij
447	447
Little Rock, Arkansas	Little Rock (Arkansaso)
569	569
568	568
444	444
796	796
798	798
Càrdamon	Kardamomo
793	793
685	685
Hartford	Hartford (Konektikuto)
799	799
683	683
Taigh-tasgaidh	Muzeo
Rolling Stone	Rolling Stone
274	274
Aibidil Eabhra	Hebrea alfabeto
Dover, Delaware	Dover (Delavaro)
579	579
281	281
306	306
438	438
Friedrich II na Pruise	Frederiko la 2-a (Prusio)
297	297
421	421
298	298
351	351
352	352
355	355
95	95
94	94
594	594
542	542
448	448
445	445
305	305
234	234
565	565
381	381
385	385
553	553
307	307
584	584
346	346
257	257
285	285
591	591
289	289
Bertrand Russell	Bertrand Russell
Làmh	Mano
563	563
252	252
Nepali (canan)	Nepala lingvo
Àireamh-shluaigh	Loĝantaro
595	595
246	246
Theodore Roosevelt	Theodore Roosevelt
596	596
593	593
357	357
573	573
Tel Aviv	Tel-Avivo
Nice	Nico
Duilleag	Folio
Sàrdais	Sarda lingvo
Actair	Aktoro
Marlon Brando	Marlon Brando
Niue	Niuo
Eas	Akvofalo
559	559
599	599
326	326
341	341
322	322
Nathalia Dill	Nathalia Dill
Justin Bieber	Justin Bieber
Umha	Bronzo
Modica	Modica
Hosni Mubarak	Hosni Mubarak
386	386
Funafuti	Funafutio
374	374
380	380
Pablo Neruda	Pablo Neruda
Àth nan Damh	Oksfordo
Walloon (cànan)	Valona lingvo
136	136
Linus Torvalds	Linus Torvalds
Port-au-Prince	Portoprinco
Międzyrzec Podlaski	Międzyrzec Podlaski
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
Tasmania	Tasmanio
Rotterdam	Roterdamo
Innealan-ciùil	Muzika instrumento
Eala	Cigno
Oilthigh Oxford	Universitato de Oksfordo
Rathad	Vojo
Aleksandr Solženicyn	Aleksandr Solĵenicin
Heileacoptair	Helikoptero
Each-aibhne	Amfibia hipopotamo
382	382
342	342
373	373
372	372
James A. Garfield	James A. Garfield
Kyoto	Kioto
Sionagog	Sinagogo
Caolas Sasannach	Manika Markolo
1980an	1980-aj jaroj
Johannesburg	Johanesburgo
Eaglais	Eklezio
1990an	1990-aj jaroj
Albert Camus	Albert Camus
Gainmheach	Sablo
Kingston, Iaimeuca	Kingstono
Buadhair	Adjektivo
Leopard	Leopardo
Qaidam	Tsaidam
Salzburg	Salzburg
Sròn-adharcach	Rinoceredoj
Dayton, Ohio	Dayton (Ohio)
Rudyard Kipling	Rudyard Kipling
Leth-eilean	Duoninsulo
Còd Àireamh fòn eadar-nàiseanta	Telefona landokodo
Friedrich Engels	Friedrich Engels
Bliadhna Ùr	Novjaro
Santo Domingo	Sankta Domingo
Ulysses S. Grant	Ulysses S. Grant
Oklahoma City, Oklahoma	Oklahomaurbo (Oklahomo)
375	375
Brisbane	Brisbano
Ptolomaidh	Ptolemeo
1970an	1970-aj jaroj
2000an	2000-aj jaroj
William McKinley	William McKinley
Càl	Blanka brasiko
Sheòirsea a Deas is na h-Eileanan Shandwich a Deas	Sud-Georgio kaj Sud-Sandviĉinsuloj
Prìomh-bhailtean	Listo de ĉefurboj
Noemi	Noemi
Làrach-lìn	TTT-ejo
Wilhelm Conrad Röntgen	Wilhelm Conrad Röntgen
Grover Cleveland	Grover Cleveland
Cubhait (baile)	Kuvajturbo
Herbert Hoover	Herbert C. Hoover
Facal-fhreumachd	Etimologio
Pùma	Pumo
44 RC	-44
Warren G. Harding	Warren G. Harding
387	387
Nikita Hruŝëv	Nikita Ĥruŝĉov
Brad Pitt	Brad Pitt
Colombo	Kolombo (urbo)
Uinneag	Fenestro
Almaty	Almato
Chester A. Arthur	Chester A. Arthur
Seann-Lochlannais	Malnovnordlanda lingvo
Uamh	Kaverno
Hokkaidō	Hokajdo
Arthur Conan Doyle	Arthur Conan Doyle
Dinnsear	Zingibro
Duais Nobel airson Sith	Nobel-premio pri paco
William Howard Taft	William H. Taft
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford B. Hayes
Iaguar	Jaguaro
1930an	1930-aj jaroj
Astràilia a Deas	Suda Aŭstralio
1960an	1960-aj jaroj
1920an	1920-aj jaroj
Pàrlamaid	Parlamento
Aiste	Eseo
Osaka	Osako
Boise, Idaho	Boise (Idaho)
Oilthigh Chambridge	Universitato de Kembriĝo
Baruch Spinoza	Baruĥ Spinozo
Cadal	Dormo
Heactair	Hektaro
Uachdar-fhiaclan	Dentopasto
Baisteadh	Bapto
Bàta	Boato
Guaranaidh	Gvarania lingvo
Ceilteach	Keltoj
Calvin Coolidge	Calvin Coolidge
Seileach	Saliko
Queensland	Kvinslando
Minneapolis, Minnesota	Minneapolis
Mathan coala	Koalo
Charles Bronson	Charles Bronson
Muhammed Ali	Muhammad Ali
Borneo	Borneo
Ùir	Grundo
Àlach	Aro (matematiko)
Bridgetown	Briĝurbo
Siligo	Siligo
Riochdair	Pronomo
Fuaimreag	Vokalo
Apia	Apio
Saint John's, Antigua agus Barbuda	Sankta Johano (Antigvo-Barbudo)
Beath-eachdraidh	Biografio
Roseau	Roseo
1950an	1950-aj jaroj
Thales	Taleso de Mileto
Calgary	Kalgario
Jane Austen	Jane Austen
Aisling	Sonĝo
Fribourg	Friburgo
Comann Iosaid	Jezuitoj
Radan	Rato
Obar Dheathain	Aberdeen
Porto	Porto
Flùr	Faruno
The Lion King	The Lion King
Naisgear	Konjunkcio (gramatiko)
Mìle-bliadhna	Jarmilo
Francis Drake	Francis Drake
Port Moresby	Port-Moresbo
Àbhainn	Forno
1940an	1940-aj jaroj
1900an	1900-aj jaroj
1910an	1910-aj jaroj
Den Haag	Hago
Goiriola	Gorilo
Siùrsachd	Prostituo
Corcaigh	Cork
Ealain-lèirsinneach	Vidaj artoj
Bruach-an-Iar	Cisjordanio
Victoria, Astràilia	Viktorio (Aŭstralio)
Nòrnais	Norna lingvo
Mamot	Mamuto
Pāli	Palia lingvo
Ndebele (cànan)	Suda Ndebela lingvo
Doras	Pordo
Ceithir-cheàrnach	Kvarlatero
Robert De Niro	Robert De Niro
Toshiro Mifune	Mifune Toshiro
Aodann	Vizaĝo
Zingiberaceae	Zingibracoj
Thomas Mann	Thomas Mann
Tallahassee, Florida	Tallahassee (Florido)
José Saramago	José Saramago
Alexander Fleming	Alexander Fleming
Pop	Pop-muziko
Trianaid	Sankta Triunuo
30 an Gearran	30-a de februaro
Loidhne	Rekto
331	331
365	365
Niùclas	Atomkerno
379	379
Innd-Eòrpais	Hindeŭropa pralingvo
Robert Koch	Robert Koch
Neach-teagaisg	Instruisto
Pàpa Iain Pòl I	Johano Paŭlo la 1-a
An Spiorad Naomh	Sankta Spirito
Cleveland, Ohio	Klevlando
Samuel Beckett	Samuel Beckett
Lublin	Lublin
John Michael Talbot	John Michael Talbot
Naypyidaw	Nepjido
Glùn	Genuo
Abragod	Abrikotarbo
Pierre Curie	Pierre Curie
Poileagan	Plurlatero
Jean Calvin	Kalvino
Leòmhann-làir	Ĥameleono
Bloemfontein	Bloemfontein
Arm	Armeo
Coimheatailt	Alojo
T. S. Eliot	T. S. Eliot
Charlotte's Web	Charlotte's Web (filmo, 1973)
Port Vila	Portvilao
Auckland Grammar School	Auckland Grammar School
Milwaukee, Wisconsin	Milvokio
Caol	Markolo
Duais Nobel ann an Litreachas	Nobel-premio pri literaturo
Mendel, Gregor	Johann Gregor Mendel
Carinthia (stàit)	Karintio
St. Louis, Missouri	Sankta Luiso
Connrag	Konsonanto
Herta Müller	Herta Müller
Samurai	Samurajo
George Lucas	George Lucas
Eithne	Enya
1840an	1840-aj jaroj
Còmhlan (bith-eòlas)	Filumo
Rìgh Eanraig VIII Shasainn	Henriko la 8-a (Anglio)
William Faulkner	William Faulkner
Romano Prodi	Romano Prodi
Xena: Warrior Princess	Xena
Turku	Turku
Devanāgarī	Nagario
1880an	1880-aj jaroj
Còcaireachd	Kuirado
Blàr Stalingrad	Batalo ĉe Stalingrado
Suva	Suvo
Nuku'alofa	Nukualofo
Meatailt throm	Metalroko
A' Phruis	Prusio
1890an	1890-aj jaroj
Vorarlberg	Vorarlbergo
Abhag	Terhundoj
Ceusair	Imperiestro
Cheyenne, Wyoming	Cheyenne
Port of Spain	Portospeno
Bohemia	Bohemio (lando)
Peata	Dombesto
John Steinbeck	John Steinbeck
Luch	Muso (besto)
Bothan	Sovaĝeja kabano
Ronaldinho	Ronaldinho
Anchorage, Alasca	Anchorage
1830an	1830-aj jaroj
Tractar-àiteachais	Traktoro
Gamal Abdel Nasser	Naser
Acfhainn	Laborilo
Peatrail	Benzino
Burbank, Calafòrnia	Burbank (Kantono Los-Anĝeleso)
1800an	1800-aj jaroj
Linne	Golfo
Antoine Lavoisier	Antoine Lavoisier
Cladh (creideamh)	Tombejo
Fast	Boaco
Nicolas Appert	Nicolas Appert
Des Moines, Iowa	Des Moines (Iovao)
Taigh-solais	Lumturo
The Rescuers	The Rescuers
Raon Ghàsa	Gaza Sektoro
Pràis	Latuno
Sangiano	Sangiano
Mario Vargas Llosa	Mario Vargas Llosa
Gleann	Valo
1860an	1860-aj jaroj
1870an	1870-aj jaroj
Briogais	Pantalono
Deichead	Jardekoj
Almon	Migdalujo
Sylvester Stallone	Sylvester Stallone
Prògram (coimpiutair)	Komputila programo
Abhainn Iòrdan	Jordano
Clach-chreadha	Briko
Will Smith	Will Smith
Beus-fhìdheall	Gambovjolo
Hobart	Hobarto
1810an	1810-aj jaroj
William Butler Yeats	William Butler Yeats
Canale d'Agordo	Canale d'Agordo
Carl Benz	Karl Benz
European Cup Winners Cup	UEFA-pokalo de pokalvenkintoj
Iomadachadh	Multipliko
Gini-Nuadh	Nov-Gvineo
The Fox and the Hound	The Fox and the Hound
Norman, Oklahoma	Norman
Prìosan	Malliberejo
Desio	Desio
Buffalo, Eabhraig Nuadh	Bufalo
Na Slàbhaich	Slavo
John Wayne	John Wayne
Sumo	Sumoo
Lisa Gerrard	Lisa Gerrard
Somma Lombardo	Somma Lombardo
Co-bhualadair Mòr Hadron	Granda Koliziigilo de Hadronoj
Tacloban	Tacloban
Ray Bradbury	Ray Bradbury
Eòin Baistidh	Johano la Baptisto
Paulínia	Paulinjo
'100 Leabhar an Linn' le Le Monde	La 100 libroj de la 20-a jarcento laŭ Le Monde
Toirt air falbh	Subtraho
Partan	Krabo
God Save the Queen	God Save the Queen
Knut Hamsun	Knut Hamsun
Tampere	Tampere
Breda	Breda
Tenerife	Tenerifo
Neul Oort	Oorta nubo
Doris Lessing	Doris Lessing
Buinneach	Diareo
Dumbo	Dumbo
Frank Sinatra	Frank Sinatra
Honiara	Honiaro
Mùn	Urino
1850an	1850-aj jaroj
Rèabhlaid Ameireaganach	Usona Milito de Sendependeco
Ùrnaigh	Preĝo
Skype	Skajpo
Each-mara (mamal)	Rosmaro
Harold Pinter	Harold Pinter
Bathais	Frunto
Topeka, Kansas	Topeka (Kansaso)
Sailm	Psalmo
Heraclitus a Ephesus	Heraklito
Al Pacino	Al Pacino
Demi Lovato	Demi Lovato
Eibhir	Granito
Iolair-bhuidhe	Reĝa aglo
Bonn (airgead)	Monero
San Juan, Puerto Rico	San-Juano (Porto-Riko)
Boris Pasternak	Boris Pasternak
Opera	Opera (retumilo)
Bydgoszcz	Bydgoszcz
Johannes Vermeer	Johannes Vermeer
John Dalton	John Dalton
Basseterre	Bastero
Poblachd Weimar	Vajmara Respubliko
Ball-coise Aimearaganach	Usona piedpilkado
Steiermark	Stirio
José Luis Rodríguez Zapatero	José Luis Rodríguez Zapatero
Teletubbies	Teletubbies
Brot	Supo
Kingstown	Kingstaŭno
Neasgaid-fala	Hemoroido
Wole Soyinka	Wole Soyinka
Lebhiticus	Levidoj
Freumh	Radiko (planto)
Henryk Sienkiewicz	Henryk Sienkiewicz
William Blake	William Blake
St. George’s	Sankta Georgo (Grenado)
Buaidh an taigh-ghloine	Forceja efiko
Julia Gillard	Julia Gillard
Còcein	Kokaino
Dlighe Ohm	Leĝo de Omo
Coireaman	Kultiva koriandro
Haifa	Ĥajfo
Eilean Stiùbhairt	Stewart-insulo
Castries	Kastrizo
Brachadh	Fermentado
Haracleas	Heraklio
Paul Newman	Paul Newman
Sri Jayawardenapura	Sri Jayawardenapura Kotte
An Ostair Uachdar	Supra Aŭstrio
Democritus	Demokrito de Abdero
Tahiti	Tahitio
Am Bàs Dubh	Nigra morto
Anwar El Sadat	Anvar Sadat
J. M. G. Le Clézio	Jean-Marie Gustave Le Clézio
Clach theinnteach	Magmorokaĵo
Gobi	Gobio
Tomas Tranströmer	Tomas Tranströmer
Henri Bergson	Henri Bergson
Abel Tasman	Abel Tasman
Hainan	Hajnano
Fàilte Mhoire	Ave Maria
Obair	Laboro (fiziko)
Mel Gibson	Mel Gibson
Sully Prudhomme	Sully Prudhomme
Mirante do Vale	Videjo de Valo
Eileanan a' Chaolais	Manikinsuloj
Savannah	Savano
Pàpa Pius XI	Pio la 11-a
Neul (reul-eòlas)	Nebulozo
Mihail Šolohov	Miĥail Ŝoloĥov
Sasannaich	Angloj
Evo Morales	Evo Morales
Anatole France	Anatole France
Anaximander	Anaksimandro
Eabhraig	York
Asterix An Ceilteach	Asteriks
An Ostair Ìochdarach	Malsupra Aŭstrio
Eaglais Ìosa Chrìost de Naoimh an Latha mu Dheireadh	Eklezio de Jesuo Kristo de la Sanktuloj de la Lastaj Tagoj
Spìosradh	Spico
Wisława Szymborska	Wisława Szymborska
Curcuma	Kurkumo
Uilinn	Kubuto
Frédéric Mistral	Frédéric Mistral
Sagart	Pastro
Deuteronomi	Readmono
Cat Manainneach	Manksa kato
Heinrich Böll	Heinrich Böll
Palikir	Palikiro
Johnny Cash	Johnny Cash
Audrey Hepburn	Audrey Hepburn
Leif Ericson	Leifr Eiríksson
Port Adhair Long Thanh	Flughaveno Long Thanh
Tirol	Tirolo (Aŭstrio)
Dustin Hoffman	Dustin Hoffman
Balla	Muro
Ola	Oleo
Ailtire	Arkitekturistoj
1600an	1600-aj jaroj
Bambi	Bambi
Peabar	Nigra pipro
Àireamh (Bìoball)	Nombroj
Barail-fhuasgladh	Referendumo
Naomh	Sanktulo
Sofia Rotaru	Sofia Rotaru
Crotal	Likeno
Cincinnati, Ohio	Cincinnati
Omaha, Nebraska	Omaha (Nebrasko)
Dà-ghnèitheachd	Ambaŭseksemo
Clint Eastwood	Clint Eastwood
Burgenland	Burgenlando
Ingrid Bergman	Ingrid Bergman
Fàire	Horizonto
Morabhia	Moravio
Pieter Brueghel Mòr	Pieter Bruegel la pliaĝa
Prionnsa Teàrlach, Prionnsa na Cuimrigh	Karlo, princo de Kimrujo
Talmud	Talmudo
J. M. Coetzee	John Maxwell Coetzee
Fresno, Calafòrnia	Fresno
Cumhachd na Gaoithe	Ventoenergio
Salzburg (stàit)	Salcburgio
Basalt	Bazalto
1700an	1700-aj jaroj
Raibeart Ò Baoghail	Robert Boyle
Richmond, Virginia	Richmond (Virginio)
Giosuè Carducci	Giosuè Carducci
Gustave Flaubert	Gustave Flaubert
Boireannach	Ina sekso
Gàirdean	Brako
Desiderius Erasmus	Erasmo de Roterdamo
Guayaquil	Guayaquil
Gerhart Johann Robert Hauptmann	Gerhart Hauptmann
Cotonou	Kotonuo
Drannd-eun	Kolibro
Leiden	Leiden
Louisville, Kentucky	Louisville
Montehermoso	Montehermoso
Pàpa Pius IX	Pio la 9-a
Pàpa Leo XII	Leono la 12-a
Pàpa Griogair XVI	Gregorio la 16-a
Yasunari Kawabata	Kaŭabata Jasunari
Pàpa Pius X	Pio la 10-a
Àilean	Oazo
Crith-thalmhainn Haiti 2010	Tertremo en Haitio en 2010
Madison, Wisconsin	Madison (Viskonsino)
Imleag	Umbiliko
Otto I, Impire Naomh Ròmanach	Oto la 1-a (Sankta Romia Imperio)
Eduard Buchner	Eduard Buchner
Pàpa Leo XIII	Leono la 13-a
Seoc an Reubainnear	Ĵakvo la Buĉisto
1740an	1740-aj jaroj
Wassily Leontief	Wassily Leontief
1500an	1500-aj jaroj
Fireannach	Vira sekso
William Golding	William Golding
Ùirsgeul	Legendo
Tsar	Caro
Cayenne	Kajeno
Selma Lagerlöf	Selma Lagerlöf
Anne Brontë	Anne Brontë
Bheactor	Vektoro
Teampall	Templo
Duais Nobel ann an Ceimigeachd	Nobel-premio pri kemio
V. S. Naipaul	Vidiadhar Surajprasad Naipaul
Aoine	Fasto
1820an	1820-aj jaroj
Amazonas (Roinn)	Amazonio (Kolombio)
Port	Haveno
Suharto	Suharto
Viljandi	Viljandi
1770an	1770-aj jaroj
Tulsa, Oklahoma	Tulsa
Chubut	Ĉubutio
Biorra-crùidein	Alcededoj
Elba	Elbo (insulo)
The Doors	The Doors
Coimbra	Koimbro
Beirm	Gisto
Silesia Seiceach	Ĉeĥa Silezio
Boa	Boaedoj
Dennis Ritchie	Dennis Ritchie
Cairdeanal	Kardinalo
Himnusz	Hungara nacia himno
Strabo	Strabono
Czesław Miłosz	Czesław Miłosz
1680an	1680-aj jaroj
1610an	1610-aj jaroj
Maigheach	Leporo
Felix Mendelssohn Bartholdy	Felix Mendelssohn Bartholdy
Rhône (département)	Rhône (departemento)
Aardvark	Orikteropo
1510an	1510-aj jaroj
Bogha is saighead	Arko (armilo)
